Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
13-3-1|N10d-Gy 0,n/a|1|75|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 10 d|No information on individuals available for this study
13-3-2|N30d-Gy 0,n/a|1|75|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 30 d|No information on individuals available for this study
13-3-3|N90d-Gy 0,n/a|1|75|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 90 d|No information on individuals available for this study
13-3-4|NL-Gy 0,n/a|1|75|none (controls)|0|unit code not relevant|not applicable or not supplied|n/a|76 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|life span study|No information on individuals available for this study
13-3-5|NLa-Gy 0.75,n/a|1|75|neutrons fission|0.75|grays|External exposure|n/a|29 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|life span study|No information on individuals available for this study
13-3-6|Na3d-Gy 1.5,n/a|1|75|neutrons fission|1.5|grays|External exposure|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 3 d|No information on individuals available for this study
13-3-7|Na10da-Gy 1.5,n/a|1|75|neutrons fission|1.5|grays|External exposure|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 10 d|No information on individuals available for this study
13-3-8|Na20d-Gy 1.5,n/a|1|75|neutrons fission|1.5|grays|External exposure|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 20 d|No information on individuals available for this study
13-3-9|Na30d-Gy 1.5,n/a|1|75|neutrons fission|1.5|grays|External exposure|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 30 d|No information on individuals available for this study
13-3-10|Na45d-Gy 1.5,n/a|1|75|neutrons fission|1.5|grays|External exposure|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 45 d|No information on individuals available for this study
13-3-11|Na60d-Gy 1.5,n/a|1|75|neutrons fission|1.5|grays|External exposure|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 60 d|No information on individuals available for this study
13-3-12|Na90d-Gy 1.5,n/a|1|75|neutrons fission|1.5|grays|External exposure|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 90 d|No information on individuals available for this study
13-3-13|NLa-Gy 1.5,n/a|1|75|neutrons fission|1.5|grays|External exposure|n/a|55 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|life span study|No information on individuals available for this study
13-3-14|Na3d-Gy 2.5,n/a|1|75|neutrons fission|2.5|grays|External exposure|n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 3 d|No information on individuals available for this study
