Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
1004-1-1|0.06 uCi/kg Initial Body Burden,2.22 kBq/kg|1|n/a|Pu-239 dioxide|2.22|kilobecquerels per kilogram animal|Inhalation|Single, nose only, exposure to aerosol|11 (0 in ERA)|Dog|Dog, Beagle|Both|Old Adult|Survival, lung morphology, neoplastic changes.|No information on individuals available for this study
1004-1-2|0.13 uCi/kg Initial Body Burden,4.81 kBq/kg|1|n/a|Pu-239 dioxide|4.81|kilobecquerels per kilogram animal|Inhalation|Single, nose only, exposure to aerosol|13 (0 in ERA)|Dog|Dog, Beagle|Both|Old Adult|Survival, lung morphology, neoplastic changes.|No information on individuals available for this study
1004-1-3|0.20 uCi/kg Initial Body Burden,7.4  kBq/kg|1|n/a|Pu-239 dioxide|7.4|kilobecquerels per kilogram animal|Inhalation|Single, nose only, exposure to aerosol|6 (0 in ERA)|Dog|Dog, Beagle|Both|Old Adult|Survival, lung morphology, neoplastic changes.|No information on individuals available for this study
1004-1-4|0.31 uCi/kg Initial Body Burden,11.47  kBq/kg|1|n/a|Pu-239 dioxide|11.47|kilobecquerels per kilogram animal|Inhalation|Single, nose only, exposure to aerosol|5 (0 in ERA)|Dog|Dog, Beagle|Both|Old Adult|Survival, lung morphology, neoplastic changes.|No information on individuals available for this study
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-85|99|2564|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-86|99|2686|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-88|99|4079|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-90|99|869|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-93|99|4674|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-100|99|3764|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-101|99|2711|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-104|99|1761|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-106|99|2023|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-107|99|1085|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-109|99|4119|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-121|99|770|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-122|99|4333|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-123|99|682|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-124|99|817|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-125|99|4325|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-126|99|650|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-158|99|1263|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-173|99|1795|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-175|99|509|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-177|99|563|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-178|99|572|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-179|99|553|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-180|99|1998|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-182|99|1281|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-183|99|1985|n/a|n/a|n/a|
1004-1-99|Ancillary,?|n/a|n/a|n/a||n/a|n/a|n/a|64 (64 in ERA)|Dog|Dog, Beagle|Both|Old Adult|none|1004-1-99-184|99|1511|n/a|n/a|n/a|
