Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
16-3-23|n/a,n/a|1|245|ß-rays|33.5|grays|External exposure|5 F +TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|16 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-24|n/a,n/a|1|245|ß-rays|36|grays|External exposure|5 F +TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|16 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-25|n/a,n/a|1|245|ß-rays|30|grays|External exposure|7 F +TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|11 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-26|n/a,n/a|1|245|ß-rays|34|grays|External exposure|7 F +TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|22 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-27|n/a,n/a|1|245|ß-rays|36.5|grays|External exposure|7 F +TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|12 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-28|n/a,n/a|1|245|ß-rays|38|grays|External exposure|7 F +TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-29|n/a,n/a|1|245|ß-rays|39|grays|External exposure|7 F +TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-30|n/a,n/a|1|245|ß-rays|41|grays|External exposure|7 F +TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-31|n/a,n/a|1|245|ß-rays|42|grays|External exposure|7 F +TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-32|n/a,n/a|1|245|ß-rays|43.5|grays|External exposure|7 F +TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-33|n/a,n/a|1|245|ß-rays|46|grays|External exposure|7 F +TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|19 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-34|n/a,n/a|1|245|ß-rays|50|grays|External exposure|7 F +TU 17 Gy Sr90 source 22.5 mm 3 Gy/min|8 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-35|n/a,n/a|1|245|ß-rays|30|grays|External exposure|TU 17 Gy +10F Sr90 source 22.5 mm 3 Gy/min|9 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-36|n/a,n/a|1|245|ß-rays|35|grays|External exposure|TU 17 Gy +10F Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-37|n/a,n/a|1|245|ß-rays|40|grays|External exposure|TU 17 Gy +10F Sr90 source 22.5 mm 3 Gy/min|8 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-38|n/a,n/a|1|245|ß-rays|45|grays|External exposure|TU 17 Gy +10F Sr90 source 22.5 mm 3 Gy/min|9 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
