Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1256|2|23011|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1257|2|28124|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1258|2|29950|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1269|2|28855|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1272|2|25933|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1275|2|15340|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1276|2|11688|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1279|2|24837|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1282|2|29220|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1284|2|28490|n/a|n/a|n/a|
1003-100-2|n/a,CR|1|n/a|Ra-226 chloride||unit code not relevant|not applicable or not supplied|Chemist Ra-226 includes physicists and labaratory technicians.|238 (238 in ERA)|Dog|Dog, Beagle|Both|Unknown|incomplete study!|1003-100-2-1305|2|15706|n/a|n/a|n/a|
