Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
7-10-1|n/a,n/a|1|-30|none (controls)|0|unit code not relevant|not applicable or not supplied|4 w old paternal exposure|250 (0 in ERA)|Mouse|Mouse BALB/cJ (ANL04)|Both|Preconception|Paternal exposure of 105 fathers, mating 1 week later, sacrifice age 8 m|No information on individuals available for this study
7-10-2|n/a,n/a|1|-37|none (controls)|0|unit code not relevant|not applicable or not supplied|4 w old paternal exposure|271 (0 in ERA)|Mouse|Mouse BALB/cJ (ANL04)|Both|Preconception|Paternal exposure of 105 fathers, mating 2 weeks later, sacrifice  offspring age 8 m|No information on individuals available for this study
7-10-3|n/a,n/a|1|-30|X-rays whole body|2.5|grays|External exposure|4 w old paternal exposure|365 (0 in ERA)|Mouse|Mouse BALB/cJ (ANL04)|Both|Preconception|Paternal exposure of 210 fathers, mating 1 week later, sacrifice offspring age 8 m|No information on individuals available for this study
7-10-4|n/a,n/a|1|-37|X-rays whole body|2.5|grays|External exposure|4 w old paternal exposure|340 (0 in ERA)|Mouse|Mouse BALB/cJ (ANL04)|Both|Preconception|Paternal exposure of 210 fathers, mating 2 weeks later, sacrifice offspring age 8 m|No information on individuals available for this study
7-10-5|n/a,n/a|1|-30|X-rays whole body|5|grays|External exposure|4 w old paternal exposure|279 (0 in ERA)|Mouse|Mouse BALB/cJ (ANL04)|Both|Preconception|Paternal exposure of 315 fathers, mating 1 week later, sacrifice offspring age 8 m|No information on individuals available for this study
7-10-6|n/a,n/a|1|-37|X-rays whole body|5|grays|External exposure|4 w old paternal exposure|327 (0 in ERA)|Mouse|Mouse BALB/cJ (ANL04)|Both|Preconception|Paternal exposure of 315 fathers, mating 2 weeks later, sacrifice offspring age 8 m|No information on individuals available for this study
7-10-7|n/a,n/a|1|-30|none (controls)|0|unit code not relevant|not applicable or not supplied|4 w old paternal exposure|37 (0 in ERA)|Mouse|Mouse BALB/cJ (ANL04)|Both|Preconception|Paternal exposure of 105 fathers, mating 1 weeks later, sacrifice  offspring age 12 m|No information on individuals available for this study
7-10-8|n/a,n/a|1|-37|none (controls)|0|unit code not relevant|not applicable or not supplied|4 w old paternal exposure|50 (0 in ERA)|Mouse|Mouse BALB/cJ (ANL04)|Both|Preconception|Paternal exposure of 105 fathers, mating 2 weeks later, sacrifice  offspring age 12 m|No information on individuals available for this study
7-10-9|n/a,n/a|1|-30|X-rays whole body|2.5|grays|External exposure|4 w old paternal exposure|40 (0 in ERA)|Mouse|Mouse BALB/cJ (ANL04)|Both|Preconception|Paternal exposure of 210 fathers mating 1 week later, sacrifice  offspring age 12 m|No information on individuals available for this study
7-10-10|n/a,n/a|1|-37|X-rays whole body|2.5|grays|External exposure|4 w old paternal exposure|33 (0 in ERA)|Mouse|Mouse BALB/cJ (ANL04)|Both|Preconception|Paternal exposure of 210 fathers mating 2 weeks later, sacrifice offspring age 12 m|No information on individuals available for this study
