Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
1005-44-1|n/a,n/a|1|n/a|Undefined||unit code not relevant|not applicable or not supplied|85SR 137CS D&E|14 (14 in ERA)|Dog|Dog, Beagle|Both|Unknown|NRCINDUSTMOX / NRCMIXEDOXIDES|1005-44-1-4|1|877|n/a|n/a|n/a|
1005-44-1|n/a,n/a|1|n/a|Undefined||unit code not relevant|not applicable or not supplied|85SR 137CS D&E|14 (14 in ERA)|Dog|Dog, Beagle|Both|Unknown|NRCINDUSTMOX / NRCMIXEDOXIDES|1005-44-1-5|1|783|n/a|n/a|n/a|
1005-44-1|n/a,n/a|1|n/a|Undefined||unit code not relevant|not applicable or not supplied|85SR 137CS D&E|14 (14 in ERA)|Dog|Dog, Beagle|Both|Unknown|NRCINDUSTMOX / NRCMIXEDOXIDES|1005-44-1-733|1|1481|n/a|n/a|n/a|
1005-44-1|n/a,n/a|1|n/a|Undefined||unit code not relevant|not applicable or not supplied|85SR 137CS D&E|14 (14 in ERA)|Dog|Dog, Beagle|Both|Unknown|NRCINDUSTMOX / NRCMIXEDOXIDES|1005-44-1-734|1|1481|n/a|n/a|n/a|
1005-44-1|n/a,n/a|1|n/a|Undefined||unit code not relevant|not applicable or not supplied|85SR 137CS D&E|14 (14 in ERA)|Dog|Dog, Beagle|Both|Unknown|NRCINDUSTMOX / NRCMIXEDOXIDES|1005-44-1-737|1|1479|n/a|n/a|n/a|
1005-44-1|n/a,n/a|1|n/a|Undefined||unit code not relevant|not applicable or not supplied|85SR 137CS D&E|14 (14 in ERA)|Dog|Dog, Beagle|Both|Unknown|NRCINDUSTMOX / NRCMIXEDOXIDES|1005-44-1-738|1|1542|n/a|n/a|n/a|
1005-44-1|n/a,n/a|1|n/a|Undefined||unit code not relevant|not applicable or not supplied|85SR 137CS D&E|14 (14 in ERA)|Dog|Dog, Beagle|Both|Unknown|NRCINDUSTMOX / NRCMIXEDOXIDES|1005-44-1-739|1|1479|n/a|n/a|n/a|
1005-44-1|n/a,n/a|1|n/a|Undefined||unit code not relevant|not applicable or not supplied|85SR 137CS D&E|14 (14 in ERA)|Dog|Dog, Beagle|Both|Unknown|NRCINDUSTMOX / NRCMIXEDOXIDES|1005-44-1-740|1|1542|n/a|n/a|n/a|
1005-44-1|n/a,n/a|1|n/a|Undefined||unit code not relevant|not applicable or not supplied|85SR 137CS D&E|14 (14 in ERA)|Dog|Dog, Beagle|Both|Unknown|NRCINDUSTMOX / NRCMIXEDOXIDES|1005-44-1-745|1|1474|n/a|n/a|n/a|
1005-44-1|n/a,n/a|1|n/a|Undefined||unit code not relevant|not applicable or not supplied|85SR 137CS D&E|14 (14 in ERA)|Dog|Dog, Beagle|Both|Unknown|NRCINDUSTMOX / NRCMIXEDOXIDES|1005-44-1-751|1|1474|n/a|n/a|n/a|
1005-44-1|n/a,n/a|1|n/a|Undefined||unit code not relevant|not applicable or not supplied|85SR 137CS D&E|14 (14 in ERA)|Dog|Dog, Beagle|Both|Unknown|NRCINDUSTMOX / NRCMIXEDOXIDES|1005-44-1-752|1|1467|n/a|n/a|n/a|
1005-44-1|n/a,n/a|1|n/a|Undefined||unit code not relevant|not applicable or not supplied|85SR 137CS D&E|14 (14 in ERA)|Dog|Dog, Beagle|Both|Unknown|NRCINDUSTMOX / NRCMIXEDOXIDES|1005-44-1-753|1|1530|n/a|n/a|n/a|
