Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type|Pathology location|Pathology Description|
19-9-1|n/a,n/a|1|73|reactor grade Pu-239|70.3|kilobecquerels per kilogram animal|Inhalation|as citrate|93 (0 in ERA)|Rat|Rat Wistar|Female|Young Adult|Sacrifice immediately, 3, 7, 14, 30, 60, 120, 180, 240, 300, 360, 512 days after inhalation|No information on individuals available for this study
19-9-2|n/a,n/a|1|45|reactor grade Pu-239|57.7|kilobecquerels per kilogram animal|Inhalation|as citrate|56 (0 in ERA)|Rat|Rat Wistar|Female|Juvenile|Sacrifice immediately, 3, 7, 14, 30, 60, 120, 180, 240, 300, 360, 512 days after inhalation|No information on individuals available for this study
19-9-3|n/a,n/a|1|24|reactor grade Pu-239|55.5|kilobecquerels per kilogram animal|Inhalation|as citrate|73 (0 in ERA)|Rat|Rat Wistar|Female|Infant|Sacrifice immediately, 3, 7, 14, 30, 60, 120, 180, 240, 300, 360, 512 days after inhalation|No information on individuals available for this study
19-9-4|n/a,n/a|1|73|reactor grade Pu-239|96.2|kilobecquerels per kilogram animal|Inhalation|as citrate|42 (0 in ERA)|Rat|Rat Wistar|Female|Young Adult|Sacrifice immediately, 3, 7, 14, 30, 60, 120, 180, 240, 300, 360 days after inhalation|No information on individuals available for this study
19-9-5|n/a,n/a|1|73|reactor grade Pu-239|70.3|kilobecquerels per kilogram animal|Inhalation|as citrate|43 (0 in ERA)|Rat|Rat Wistar|Female|Young Adult|Sacrifice immediately, 3, 7, 14, 30, 60, 120, 180, 240, 300, 360 days after inhalation|No information on individuals available for this study
19-9-6|n/a,n/a|1|73|reactor grade Pu-239|29.6|kilobecquerels per kilogram animal|Inhalation|as citrate|42 (0 in ERA)|Rat|Rat Wistar|Female|Young Adult|Sacrifice immediately, 3, 7, 14, 30, 60, 120, 180, 240, 300, 360 days after inhalation|No information on individuals available for this study
19-9-7|n/a,n/a|1|73|reactor grade Pu-239|22.2|kilobecquerels per kilogram animal|Inhalation|as citrate|37 (0 in ERA)|Rat|Rat Wistar|Female|Young Adult|Sacrifice immediately, 3, 7, 14, 30, 60, 120, 180, 240, 300, 360 days after inhalation|No information on individuals available for this study
19-9-8|n/a,n/a|1|73|none (controls)|0|kilobecquerels per kilogram animal|Inhalation|n/a|95 (0 in ERA)|Rat|Rat Wistar|Female|Young Adult|Sacrifice immediately, 3, 7, 14, 30, 60, 120, 180, 240, 300, 360 days after inhalation|No information on individuals available for this study
19-9-9|n/a,n/a|1|45|reactor grade Pu-239|107.3|kilobecquerels per kilogram animal|Inhalation|as citrate|35 (0 in ERA)|Rat|Rat Wistar|Female|Juvenile|Sacrifice immediately, 3, 7, 14, 30, 60, 120, 180, 240, 300, 360 days after inhalation|No information on individuals available for this study
19-9-10|n/a,n/a|1|45|reactor grade Pu-239|55.5|kilobecquerels per kilogram animal|Inhalation|as citrate|42 (0 in ERA)|Rat|Rat Wistar|Female|Juvenile|Sacrifice immediately, 3, 7, 14, 30, 60, 120, 180, 240, 300, 360 days after inhalation|No information on individuals available for this study
