"o","l","source","analysis"
1.87,0.0873478254832156,"tumor","original"
1.88,0.0861670544469002,"tumor","original"
1.89,0.0850087806600002,"tumor","original"
1.9,0.0838724834482266,"tumor","original"
1.91,0.0827576558453791,"tumor","original"
1.92,0.081663804202528,"tumor","original"
1.93,0.0805904478086482,"tumor","original"
1.94,0.0795371185223787,"tumor","original"
1.95,0.0785033604145308,"tumor","original"
1.96,0.0774887294211738,"tumor","original"
1.97,0.0764927930068991,"tumor","original"
1.98,0.0755151298380075,"tumor","original"
1.99,0.0745553294653652,"tumor","original"
2,0.0736129920165988,"tumor","original"
2.01,0.0726877278974249,"tumor","original"
2.02,0.0717791575017929,"tumor","original"
2.03,0.0708869109306147,"tumor","original"
2.04,0.0700106277188382,"tumor","original"
2.05,0.0691499565705848,"tumor","original"
2.06,0.0683045551021661,"tumor","original"
2.07,0.0674740895926722,"tumor","original"
2.08,0.066658234742001,"tumor","original"
2.09,0.0658566734360313,"tumor","original"
2.1,0.0650690965187401,"tumor","original"
2.11,0.0642952025711036,"tumor","original"
2.12,0.0635346976965114,"tumor","original"
2.13,0.0627872953125491,"tumor","original"
2.14,0.0620527159489346,"tumor","original"
2.15,0.0613306870514137,"tumor","original"
2.16,0.0606209427914602,"tumor","original"
2.17,0.0599232238815891,"tumor","original"
2.18,0.0592372773961068,"tumor","original"
2.19,0.0585628565971621,"tumor","original"
2.2,0.0578997207658724,"tumor","original"
2.21,0.0572476350384686,"tumor","original"
2.22,0.0566063702471983,"tumor","original"
2.23,0.0559757027659454,"tumor","original"
2.24,0.0553554143603174,"tumor","original"
2.25,0.0547452920421645,"tumor","original"
2.26,0.0541451279283218,"tumor","original"
2.27,0.0535547191034789,"tumor","original"
2.28,0.0529738674870547,"tumor","original"
2.29,0.0524023797039188,"tumor","original"
2.3,0.0518400669588991,"tumor","original"
2.31,0.0512867449149066,"tumor","original"
2.32,0.0507422335745882,"tumor","original"
2.33,0.0502063571654326,"tumor","original"
2.34,0.0496789440281344,"tumor","original"
2.35,0.0491598265082281,"tumor","original"
2.36,0.0486488408508219,"tumor","original"
2.37,0.0481458270983224,"tumor","original"
2.38,0.0476506289911465,"tumor","original"
2.39,0.0471630938712299,"tumor","original"
2.4,0.0466830725883014,"tumor","original"
2.41,0.0462104194088393,"tumor","original"
2.42,0.0457449919276071,"tumor","original"
2.43,0.0452866509817036,"tumor","original"
2.44,0.0448352605670407,"tumor","original"
2.45,0.0443906877571983,"tumor","original"
2.46,0.0439528026245645,"tumor","original"
2.47,0.0435214781636737,"tumor","original"
2.48,0.0430965902167425,"tumor","original"
2.49,0.042678017401258,"tumor","original"
2.5,0.0422656410396035,"tumor","original"
2.51,0.0418593450906583,"tumor","original"
2.52,0.0414590160832925,"tumor","original"
2.53,0.0410645430517225,"tumor","original"
2.54,0.0406758174726414,"tumor","original"
2.55,0.0402927332041217,"tumor","original"
2.56,0.0399151864261706,"tumor","original"
2.57,0.0395430755829472,"tumor","original"
2.58,0.0391763013265716,"tumor","original"
2.59,0.0388147664624502,"tumor","original"
2.6,0.0384583758961378,"tumor","original"
2.61,0.0381070365816107,"tumor","original"
2.62,0.0377606574709794,"tumor","original"
2.63,0.0374191494655587,"tumor","original"
2.64,0.0370824253682618,"tumor","original"
2.65,0.0367503998372904,"tumor","original"
2.66,0.0364229893410732,"tumor","original"
2.67,0.0361001121144173,"tumor","original"
2.68,0.0357816881158375,"tumor","original"
2.69,0.0354676389860365,"tumor","original"
2.7,0.0351578880074878,"tumor","original"
2.71,0.0348523600651066,"tumor","original"
2.72,0.0345509816079589,"tumor","original"
2.73,0.0342536806119925,"tumor","original"
2.74,0.033960386543764,"tumor","original"
2.75,0.0336710303251031,"tumor","original"
2.76,0.0333855442987319,"tumor","original"
2.77,0.0331038621947816,"tumor","original"
2.78,0.032825919098181,"tumor","original"
2.79,0.0325516514169069,"tumor","original"
2.8,0.0322809968510624,"tumor","original"
2.81,0.0320138943627587,"tumor","original"
2.82,0.0317502841467831,"tumor","original"
2.83,0.0314901076020315,"tumor","original"
2.84,0.0312333073036569,"tumor","original"
2.85,0.0309798269759796,"tumor","original"
2.86,0.030729611466055,"tumor","original"
2.87,0.0304826067179306,"tumor","original"
2.88,0.0302387597475821,"tumor","original"
2.89,0.0299980186184668,"tumor","original"
2.9,0.0297603324176991,"tumor","original"
2.91,0.0295256512328642,"tumor","original"
2.92,0.0292939261293735,"tumor","original"
2.93,0.0290651091284307,"tumor","original"
2.94,0.0288391531855337,"tumor","original"
2.95,0.0286160121695257,"tumor","original"
2.96,0.0283956408421708,"tumor","original"
2.97,0.0281779948382419,"tumor","original"
2.98,0.0279630306460981,"tumor","original"
2.99,0.0277507055887654,"tumor","original"
3,0.0275409778054684,"tumor","original"
3.01,0.027333806233628,"tumor","original"
3.02,0.0271291505913051,"tumor","original"
3.03,0.0269269713600805,"tumor","original"
3.04,0.0267272297683418,"tumor","original"
3.05,0.0265298877750036,"tumor","original"
3.06,0.0263349080536092,"tumor","original"
3.07,0.0261422539768218,"tumor","original"
3.08,0.0259518896013047,"tumor","original"
3.09,0.025763779652955,"tumor","original"
3.1,0.0255778895125096,"tumor","original"
3.11,0.0253941852014861,"tumor","original"
3.12,0.0252126333684734,"tumor","original"
3.13,0.0250332012757427,"tumor","original"
3.14,0.0248558567861917,"tumor","original"
3.15,0.0246805683505901,"tumor","original"
3.16,0.0245073049951397,"tumor","original"
3.17,0.0243360363093147,"tumor","original"
3.18,0.0241667324340137,"tumor","original"
3.19,0.0239993640499778,"tumor","original"
3.2,0.0238339023664858,"tumor","original"
3.21,0.0236703191103133,"tumor","original"
3.22,0.023508586514952,"tumor","original"
3.23,0.0233486773100969,"tumor","original"
3.24,0.0231905647113552,"tumor","original"
3.25,0.0230342224102107,"tumor","original"
3.26,0.0228796245642196,"tumor","original"
3.27,0.0227267457874334,"tumor","original"
3.28,0.0225755611410446,"tumor","original"
3.29,0.0224260461242453,"tumor","original"
3.3,0.0222781766653021,"tumor","original"
3.31,0.0221319291128304,"tumor","original"
3.32,0.0219872802272732,"tumor","original"
3.33,0.0218442071725766,"tumor","original"
3.34,0.0217026875080487,"tumor","original"
3.35,0.0215626991804069,"tumor","original"
3.36,0.0214242205160129,"tumor","original"
3.37,0.0212872302132696,"tumor","original"
3.38,0.0211517073352021,"tumor","original"
3.39,0.0210176313022075,"tumor","original"
3.4,0.0208849818849479,"tumor","original"
3.41,0.0207537391974282,"tumor","original"
3.42,0.0206238836902169,"tumor","original"
3.43,0.0204953961438151,"tumor","original"
3.44,0.0203682576621756,"tumor","original"
3.45,0.0202424496663788,"tumor","original"
3.46,0.0201179538884225,"tumor","original"
3.47,0.0199947523651745,"tumor","original"
3.48,0.0198728274324432,"tumor","original"
3.49,0.019752161719188,"tumor","original"
3.5,0.0196327381418484,"tumor","original"
3.51,0.0195145398988015,"tumor","original"
3.52,0.0193975504649415,"tumor","original"
3.53,0.0192817535863778,"tumor","original"
3.54,0.0191671332752417,"tumor","original"
3.55,0.019053673804617,"tumor","original"
3.56,0.0189413597035665,"tumor","original"
3.57,0.0188301757522793,"tumor","original"
3.58,0.0187201069773134,"tumor","original"
3.59,0.0186111386469428,"tumor","original"
3.6,0.0185032562666075,"tumor","original"
3.61,0.0183964455744531,"tumor","original"
3.62,0.0182906925369772,"tumor","original"
3.63,0.0181859833447573,"tumor","original"
3.64,0.0180823044082707,"tumor","original"
3.65,0.0179796423538115,"tumor","original"
3.66,0.0178779840194856,"tumor","original"
3.67,0.0177773164512907,"tumor","original"
3.68,0.0176776268992829,"tumor","original"
3.69,0.0175789028138201,"tumor","original"
3.7,0.0174811318418806,"tumor","original"
3.71,0.0173843018234707,"tumor","original"
3.72,0.0172884007880948,"tumor","original"
3.73,0.017193416951299,"tumor","original"
3.74,0.0170993387112992,"tumor","original"
3.75,0.0170061546456603,"tumor","original"
3.76,0.0169138535080601,"tumor","original"
3.77,0.0168224242251107,"tumor","original"
3.78,0.0167318558932473,"tumor","original"
3.79,0.0166421377756775,"tumor","original"
3.8,0.0165532592994059,"tumor","original"
3.81,0.0164652100522963,"tumor","original"
3.82,0.016377979780216,"tumor","original"
3.83,0.0162915583842263,"tumor","original"
3.84,0.0162059359178292,"tumor","original"
3.85,0.0161211025842791,"tumor","original"
3.86,0.0160370487339321,"tumor","original"
3.87,0.0159537648616694,"tumor","original"
3.88,0.0158712416043536,"tumor","original"
3.89,0.0157894697383452,"tumor","original"
3.9,0.0157084401770701,"tumor","original"
3.91,0.0156281439686301,"tumor","original"
3.92,0.0155485722934595,"tumor","original"
3.93,0.0154697164620383,"tumor","original"
3.94,0.0153915679126392,"tumor","original"
3.95,0.0153141182091251,"tumor","original"
3.96,0.0152373590387869,"tumor","original"
3.97,0.0151612822102297,"tumor","original"
3.98,0.015085879651288,"tumor","original"
3.99,0.0150111434069974,"tumor","original"
4,0.0149370656375919,"tumor","original"
4.01,0.0148636386165496,"tumor","original"
4.02,0.0147908547286698,"tumor","original"
4.03,0.014718706468196,"tumor","original"
4.04,0.0146471864369589,"tumor","original"
4.05,0.0145762873425751,"tumor","original"
4.06,0.0145060019966653,"tumor","original"
4.07,0.014436323313116,"tumor","original"
4.08,0.0143672443063663,"tumor","original"
4.09,0.0142987580897357,"tumor","original"
4.1,0.0142308578737746,"tumor","original"
4.11,0.0141635369646561,"tumor","original"
4.12,0.0140967887625904,"tumor","original"
4.13,0.0140306067602742,"tumor","original"
4.14,0.0139649845413631,"tumor","original"
4.15,0.0138999157789805,"tumor","original"
4.16,0.0138353942342501,"tumor","original"
4.17,0.0137714137548554,"tumor","original"
4.18,0.0137079682736283,"tumor","original"
4.19,0.0136450518071624,"tumor","original"
4.2,0.0135826584544517,"tumor","original"
4.21,0.0135207823955566,"tumor","original"
4.22,0.0134594178902947,"tumor","original"
4.23,0.0133985592769536,"tumor","original"
4.24,0.0133382009710245,"tumor","original"
4.25,0.0132783374639699,"tumor","original"
4.26,0.0132189633220027,"tumor","original"
4.27,0.0131600731848925,"tumor","original"
4.28,0.0131016617647934,"tumor","original"
4.29,0.0130437238450916,"tumor","original"
4.3,0.01298625427928,"tumor","original"
4.31,0.012929247989841,"tumor","original"
4.32,0.0128726999671642,"tumor","original"
4.33,0.0128166052684716,"tumor","original"
4.34,0.0127609590167689,"tumor","original"
4.35,0.0127057563998145,"tumor","original"
4.36,0.0126509926691042,"tumor","original"
4.37,0.012596663138878,"tumor","original"
4.38,0.0125427631851407,"tumor","original"
4.39,0.0124892882447067,"tumor","original"
4.4,0.0124362338142504,"tumor","original"
4.41,0.012383595449385,"tumor","original"
4.42,0.0123313687637529,"tumor","original"
4.43,0.0122795494281286,"tumor","original"
4.44,0.0122281331695443,"tumor","original"
4.45,0.012177115770425,"tumor","original"
4.46,0.0121264930677441,"tumor","original"
4.47,0.0120762609521878,"tumor","original"
4.48,0.0120264153673401,"tumor","original"
4.49,0.0119769523088779,"tumor","original"
4.5,0.0119278678237799,"tumor","original"
4.51,0.0118791580095525,"tumor","original"
4.52,0.0118308190134689,"tumor","original"
4.53,0.0117828470318157,"tumor","original"
4.54,0.0117352383091601,"tumor","original"
4.55,0.0116879891376248,"tumor","original"
4.56,0.0116410958561756,"tumor","original"
4.57,0.0115945548499272,"tumor","original"
4.58,0.0115483625494474,"tumor","original"
4.59,0.0115025154300916,"tumor","original"
4.6,0.0114570100113315,"tumor","original"
4.61,0.0114118428561064,"tumor","original"
4.62,0.0113670105701809,"tumor","original"
4.63,0.0113225098015139,"tumor","original"
4.64,0.0112783372396366,"tumor","original"
4.65,0.0112344896150492,"tumor","original"
4.66,0.0111909636986132,"tumor","original"
4.67,0.0111477563009694,"tumor","original"
4.68,0.0111048642719541,"tumor","original"
4.69,0.0110622845000317,"tumor","original"
4.7,0.0110200139117331,"tumor","original"
4.71,0.010978049471106,"tumor","original"
4.72,0.0109363881791724,"tumor","original"
4.73,0.0108950270733959,"tumor","original"
4.74,0.0108539632271586,"tumor","original"
4.75,0.0108131937492446,"tumor","original"
4.76,0.010772715783334,"tumor","original"
4.77,0.0107325265075049,"tumor","original"
4.78,0.0106926231337424,"tumor","original"
4.79,0.0106530029074554,"tumor","original"
4.8,0.0106136631070044,"tumor","original"
4.81,0.0105746010432334,"tumor","original"
4.82,0.0105358140590111,"tumor","original"
4.83,0.0104972995287794,"tumor","original"
4.84,0.0104590548581085,"tumor","original"
4.85,0.0104210774832623,"tumor","original"
4.86,0.010383364870764,"tumor","original"
4.87,0.0103459145169763,"tumor","original"
4.88,0.0103087239476853,"tumor","original"
4.89,0.0102717907176879,"tumor","original"
4.9,0.0102351124103912,"tumor","original"
4.91,0.0101986866374154,"tumor","original"
4.92,0.0101625110382034,"tumor","original"
4.93,0.0101265832796351,"tumor","original"
4.94,0.0100909010556524,"tumor","original"
4.95,0.0100554620868851,"tumor","original"
4.96,0.0100202641202837,"tumor","original"
4.97,0.00998530492876123,"tumor","original"
4.98,0.00995058231083817,"tumor","original"
4.99,0.00991609409029321,"tumor","original"
5,0.00988183811581705,"tumor","original"
5.01,0.00984781226067852,"tumor","original"
5.02,0.00981401442238834,"tumor","original"
5.03,0.00978044252237245,"tumor","original"
5.04,0.00974709450564815,"tumor","original"
5.05,0.00971396834051008,"tumor","original"
5.06,0.00968106201821061,"tumor","original"
5.07,0.00964837355266007,"tumor","original"
5.08,0.00961590098011711,"tumor","original"
5.09,0.00958364235889238,"tumor","original"
5.1,0.00955159576905655,"tumor","original"
5.11,0.00951975931214662,"tumor","original"
5.12,0.00948813111088644,"tumor","original"
5.13,0.0094567093088999,"tumor","original"
5.14,0.00942549207043986,"tumor","original"
5.15,0.00939447758011344,"tumor","original"
5.16,0.00936366404261332,"tumor","original"
5.17,0.00933304968245558,"tumor","original"
5.18,0.0093026327437195,"tumor","original"
5.19,0.00927241148979022,"tumor","original"
5.2,0.00924238420310759,"tumor","original"
5.21,0.00921254918491846,"tumor","original"
5.22,0.00918290475502923,"tumor","original"
5.23,0.00915344925156835,"tumor","original"
5.24,0.00912418103074732,"tumor","original"
5.25,0.00909509846662583,"tumor","original"
5.26,0.0090661999508838,"tumor","original"
5.27,0.0090374838925916,"tumor","original"
5.28,0.00900894871799001,"tumor","original"
5.29,0.00898059287026502,"tumor","original"
5.3,0.0089524148093371,"tumor","original"
5.31,0.00892441301164208,"tumor","original"
5.32,0.00889658596992293,"tumor","original"
5.33,0.0088689321930216,"tumor","original"
5.34,0.00884145020567486,"tumor","original"
5.35,0.00881413854831317,"tumor","original"
5.36,0.00878699577686081,"tumor","original"
5.37,0.0087600204625408,"tumor","original"
5.38,0.00873321119168403,"tumor","original"
5.39,0.00870656656553502,"tumor","original"
5.4,0.00868008520006974,"tumor","original"
5.41,0.0086537657258051,"tumor","original"
5.42,0.00862760678762435,"tumor","original"
5.43,0.00860160704459007,"tumor","original"
5.44,0.00857576516977518,"tumor","original"
5.45,0.00855007985008111,"tumor","original"
5.46,0.00852454978607278,"tumor","original"
5.47,0.0084991736918061,"tumor","original"
5.48,0.00847395029466024,"tumor","original"
5.49,0.00844887833517599,"tumor","original"
5.5,0.00842395656689298,"tumor","original"
5.51,0.00839918375618755,"tumor","original"
5.52,0.00837455868211937,"tumor","original"
5.53,0.0083500801362719,"tumor","original"
5.54,0.0083257469226031,"tumor","original"
5.55,0.00830155785729129,"tumor","original"
5.56,0.00827751176858887,"tumor","original"
5.57,0.00825360749667454,"tumor","original"
5.58,0.00822984389350813,"tumor","original"
5.59,0.00820621982269041,"tumor","original"
5.6,0.00818273415931841,"tumor","original"
5.61,0.00815938578985037,"tumor","original"
5.62,0.00813617361196686,"tumor","original"
5.63,0.00811309653443974,"tumor","original"
5.64,0.00809015347699246,"tumor","original"
5.65,0.00806734337017412,"tumor","original"
5.66,0.00804466515523038,"tumor","original"
5.67,0.00802211778397286,"tumor","original"
5.68,0.00799970021865537,"tumor","original"
5.69,0.00797741143184985,"tumor","original"
5.7,0.00795525040632314,"tumor","original"
5.71,0.0079332161349169,"tumor","original"
5.72,0.00791130762042892,"tumor","original"
5.73,0.0078895238754952,"tumor","original"
5.74,0.0078678639224743,"tumor","original"
5.75,0.00784632679333378,"tumor","original"
5.76,0.00782491152953627,"tumor","original"
5.77,0.00780361718192909,"tumor","original"
5.78,0.0077824428106352,"tumor","original"
5.79,0.00776138748494399,"tumor","original"
5.8,0.00774045028320503,"tumor","original"
5.81,0.00771963029272333,"tumor","original"
5.82,0.00769892660965358,"tumor","original"
5.83,0.00767833833890153,"tumor","original"
5.84,0.00765786459401818,"tumor","original"
5.85,0.0076375044971044,"tumor","original"
5.86,0.00761725717870872,"tumor","original"
5.87,0.00759712177773287,"tumor","original"
5.88,0.00757709744133595,"tumor","original"
5.89,0.00755718332483801,"tumor","original"
5.9,0.00753737859162786,"tumor","original"
5.91,0.00751768241307249,"tumor","original"
5.92,0.0074980939684226,"tumor","original"
5.93,0.00747861244472749,"tumor","original"
5.94,0.00745923703674265,"tumor","original"
5.95,0.00743996694684505,"tumor","original"
5.96,0.00742080138494574,"tumor","original"
5.97,0.00740173956840487,"tumor","original"
5.98,0.00738278072194829,"tumor","original"
5.99,0.00736392407758529,"tumor","original"
6,0.00734516887452511,"tumor","original"
6.01,0.00732651435909728,"tumor","original"
6.02,0.00730795978467222,"tumor","original"
6.03,0.00728950441158231,"tumor","original"
6.04,0.00727114750704473,"tumor","original"
6.05,0.00725288834508402,"tumor","original"
6.06,0.00723472620645682,"tumor","original"
6.07,0.0072166603785781,"tumor","original"
6.08,0.00719869015544601,"tumor","original"
6.09,0.00718081483757052,"tumor","original"
6.1,0.00716303373190046,"tumor","original"
6.11,0.00714534615175406,"tumor","original"
6.12,0.00712775141674625,"tumor","original"
6.13,0.00711024885272454,"tumor","original"
6.14,0.00709283779169472,"tumor","original"
6.15,0.00707551757175776,"tumor","original"
6.16,0.00705828753704258,"tumor","original"
6.17,0.00704114703763904,"tumor","original"
6.18,0.00702409542953409,"tumor","original"
6.19,0.00700713207454792,"tumor","original"
6.2,0.00699025634027001,"tumor","original"
6.21,0.00697346759999793,"tumor","original"
6.22,0.00695676523267429,"tumor","original"
6.23,0.00694014862282756,"tumor","original"
6.24,0.00692361716050829,"tumor","original"
6.25,0.00690717024123626,"tumor","original"
6.26,0.00689080726593551,"tumor","original"
6.27,0.00687452764087949,"tumor","original"
6.28,0.00685833077763357,"tumor","original"
6.29,0.00684221609299857,"tumor","original"
6.3,0.00682618300895491,"tumor","original"
6.31,0.00681023095260668,"tumor","original"
6.32,0.00679435935612901,"tumor","original"
6.33,0.00677856765671341,"tumor","original"
6.34,0.00676285529651362,"tumor","original"
6.35,0.00674722172259545,"tumor","original"
6.36,0.00673166638688309,"tumor","original"
6.37,0.00671618874610953,"tumor","original"
6.38,0.00670078826176424,"tumor","original"
6.39,0.00668546440004454,"tumor","original"
6.4,0.00667021663180651,"tumor","original"
6.41,0.00665504443251556,"tumor","original"
6.42,0.00663994728219884,"tumor","original"
6.43,0.0066249246653969,"tumor","original"
6.44,0.00660997607111734,"tumor","original"
6.45,0.00659510099278885,"tumor","original"
6.46,0.00658029892821478,"tumor","original"
6.47,0.00656556937952821,"tumor","original"
6.48,0.00655091185314686,"tumor","original"
6.49,0.0065363258597283,"tumor","original"
6.5,0.00652181091412859,"tumor","original"
6.51,0.00650736653535678,"tumor","original"
6.52,0.0064929922465327,"tumor","original"
6.53,0.00647868757484605,"tumor","original"
6.54,0.00646445205151385,"tumor","original"
6.55,0.00645028521173808,"tumor","original"
6.56,0.00643618659466916,"tumor","original"
6.57,0.00642215574336042,"tumor","original"
6.58,0.00640819220473249,"tumor","original"
6.59,0.00639429552953197,"tumor","original"
6.6,0.00638046527229386,"tumor","original"
6.61,0.00636670099130201,"tumor","original"
6.62,0.00635300224855299,"tumor","original"
6.63,0.00633936860971693,"tumor","original"
6.64,0.00632579964410166,"tumor","original"
6.65,0.00631229492461495,"tumor","original"
6.66,0.00629885402773065,"tumor","original"
6.67,0.00628547653345101,"tumor","original"
6.68,0.00627216202527215,"tumor","original"
6.69,0.0062589100901482,"tumor","original"
6.7,0.00624572031845932,"tumor","original"
6.71,0.00623259230397463,"tumor","original"
6.72,0.00621952564382006,"tumor","original"
6.73,0.00620651993844604,"tumor","original"
6.74,0.00619357479159205,"tumor","original"
6.75,0.00618068981025673,"tumor","original"
6.76,0.00616786460466385,"tumor","original"
6.77,0.00615509878823118,"tumor","original"
6.78,0.00614239197753971,"tumor","original"
6.79,0.00612974379230113,"tumor","original"
6.8,0.00611715385532946,"tumor","original"
6.81,0.00610462179250739,"tumor","original"
6.82,0.00609214723275891,"tumor","original"
6.83,0.00607972980801978,"tumor","original"
6.84,0.0060673691532059,"tumor","original"
6.85,0.00605506490618631,"tumor","original"
6.86,0.00604281670775404,"tumor","original"
6.87,0.00603062420159646,"tumor","original"
6.88,0.00601848703427068,"tumor","original"
6.89,0.00600640485517119,"tumor","original"
6.9,0.00599437731650567,"tumor","original"
6.91,0.00598240407326768,"tumor","original"
6.92,0.00597048478320854,"tumor","original"
6.93,0.00595861910681194,"tumor","original"
6.94,0.00594680670726711,"tumor","original"
6.95,0.00593504725044235,"tumor","original"
6.96,0.00592334040486201,"tumor","original"
6.97,0.00591168584167817,"tumor","original"
6.98,0.00590008323464657,"tumor","original"
6.99,0.00588853226010256,"tumor","original"
7,0.00587703259693553,"tumor","original"
7.01,0.00586558392656614,"tumor","original"
7.02,0.0058541859329209,"tumor","original"
7.03,0.00584283830240881,"tumor","original"
7.04,0.00583154072389817,"tumor","original"
7.05,0.00582029288869401,"tumor","original"
7.06,0.00580909449051363,"tumor","original"
7.07,0.00579794522546523,"tumor","original"
7.08,0.0057868447920251,"tumor","original"
7.09,0.00577579289101541,"tumor","original"
7.1,0.00576478922558161,"tumor","original"
7.11,0.00575383350117269,"tumor","original"
7.12,0.00574292542551734,"tumor","original"
7.13,0.00573206470860365,"tumor","original"
7.14,0.00572125106265867,"tumor","original"
7.15,0.00571048420212752,"tumor","original"
7.16,0.00569976384365157,"tumor","original"
7.17,0.00568908970604975,"tumor","original"
7.18,0.00567846151029761,"tumor","original"
7.19,0.00566787897950724,"tumor","original"
7.2,0.00565734183890824,"tumor","original"
7.21,0.00564684981582743,"tumor","original"
7.22,0.00563640263967028,"tumor","original"
7.23,0.00562600004190229,"tumor","original"
7.24,0.00561564175602814,"tumor","original"
7.25,0.00560532751757532,"tumor","original"
7.26,0.0055950570640745,"tumor","original"
7.27,0.00558483013504131,"tumor","original"
7.28,0.00557464647195857,"tumor","original"
7.29,0.00556450581825816,"tumor","original"
7.3,0.00555440791930332,"tumor","original"
7.31,0.00554435252237213,"tumor","original"
7.32,0.00553433937663872,"tumor","original"
7.33,0.00552436823315632,"tumor","original"
7.34,0.00551443884484127,"tumor","original"
7.35,0.00550455096645612,"tumor","original"
7.36,0.00549470435459188,"tumor","original"
7.37,0.00548489876765321,"tumor","original"
7.38,0.0054751339658405,"tumor","original"
7.39,0.00546540971113501,"tumor","original"
7.4,0.00545572576728258,"tumor","original"
7.41,0.00544608189977761,"tumor","original"
7.42,0.00543647787584785,"tumor","original"
7.43,0.00542691346443949,"tumor","original"
7.44,0.00541738843619959,"tumor","original"
7.45,0.00540790256346423,"tumor","original"
7.46,0.00539845562024151,"tumor","original"
7.47,0.00538904738219679,"tumor","original"
7.48,0.00537967762663891,"tumor","original"
7.49,0.00537034613250515,"tumor","original"
7.5,0.00536105268034641,"tumor","original"
7.51,0.00535179705231444,"tumor","original"
7.52,0.00534257903214678,"tumor","original"
7.53,0.00533339840515199,"tumor","original"
7.54,0.00532425495819834,"tumor","original"
7.55,0.00531514847969824,"tumor","original"
7.56,0.00530607875959458,"tumor","original"
7.57,0.00529704558934832,"tumor","original"
7.58,0.00528804876192582,"tumor","original"
7.59,0.00527908807178409,"tumor","original"
7.6,0.00527016331485885,"tumor","original"
7.61,0.00526127428855177,"tumor","original"
7.62,0.00525242079171729,"tumor","original"
7.63,0.00524360262465058,"tumor","original"
7.64,0.00523481958907496,"tumor","original"
7.65,0.00522607148812881,"tumor","original"
7.66,0.00521735812635512,"tumor","original"
7.67,0.00520867930968757,"tumor","original"
7.68,0.00520003484543974,"tumor","original"
7.69,0.00519142454229257,"tumor","original"
7.7,0.00518284821028379,"tumor","original"
7.71,0.00517430566079482,"tumor","original"
7.72,0.00516579670654047,"tumor","original"
7.73,0.00515732116155673,"tumor","original"
7.74,0.00514887884119057,"tumor","original"
7.75,0.00514046956208775,"tumor","original"
7.76,0.00513209314218251,"tumor","original"
7.77,0.00512374940068594,"tumor","original"
7.78,0.0051154381580764,"tumor","original"
7.79,0.00510715923608692,"tumor","original"
7.8,0.00509891245769709,"tumor","original"
7.81,0.00509069764711956,"tumor","original"
7.82,0.00508251462979309,"tumor","original"
7.83,0.00507436323236907,"tumor","original"
7.84,0.00506624328270375,"tumor","original"
7.85,0.00505815460984598,"tumor","original"
7.86,0.00505009704402962,"tumor","original"
7.87,0.00504207041666124,"tumor","original"
7.88,0.00503407456031277,"tumor","original"
7.89,0.00502610930870938,"tumor","original"
7.9,0.0050181744967218,"tumor","original"
7.91,0.00501026996035517,"tumor","original"
7.92,0.00500239553674216,"tumor","original"
7.93,0.00499455106412962,"tumor","original"
7.94,0.00498673638187385,"tumor","original"
7.95,0.00497895133042777,"tumor","original"
7.96,0.00497119575133458,"tumor","original"
7.97,0.0049634694872165,"tumor","original"
7.98,0.00495577238176768,"tumor","original"
7.99,0.00494810427974455,"tumor","original"
8,0.00494046502695745,"tumor","original"
8.01,0.00493285447026116,"tumor","original"
8.02,0.00492527245754764,"tumor","original"
8.03,0.00491771883773656,"tumor","original"
8.04,0.00491019346076735,"tumor","original"
8.05,0.00490269617759071,"tumor","original"
8.06,0.00489522684016084,"tumor","original"
8.07,0.0048877853014262,"tumor","original"
8.08,0.004880371415323,"tumor","original"
8.09,0.00487298503676558,"tumor","original"
8.1,0.00486562602163987,"tumor","original"
8.11,0.00485829422679457,"tumor","original"
8.12,0.00485098951003355,"tumor","original"
8.13,0.00484371173010922,"tumor","original"
8.14,0.00483646074671323,"tumor","original"
8.15,0.00482923642046988,"tumor","original"
8.16,0.00482203861292842,"tumor","original"
8.17,0.00481486718655592,"tumor","original"
8.18,0.00480772200472929,"tumor","original"
8.19,0.00480060293172892,"tumor","original"
8.2,0.00479350983273046,"tumor","original"
8.21,0.00478644257379829,"tumor","original"
8.22,0.00477940102187849,"tumor","original"
8.23,0.00477238504479161,"tumor","original"
8.24,0.00476539451122553,"tumor","original"
8.25,0.00475842929072926,"tumor","original"
8.26,0.00475148925370507,"tumor","original"
8.27,0.00474457427140288,"tumor","original"
8.28,0.00473768421591287,"tumor","original"
8.29,0.00473081896015874,"tumor","original"
8.3,0.00472397837789225,"tumor","original"
8.31,0.00471716234368488,"tumor","original"
8.32,0.00471037073292268,"tumor","original"
8.33,0.00470360342180032,"tumor","original"
8.34,0.00469686028731305,"tumor","original"
8.35,0.00469014120725182,"tumor","original"
8.36,0.00468344606019626,"tumor","original"
8.37,0.00467677472551008,"tumor","original"
8.38,0.00467012708333262,"tumor","original"
8.39,0.00466350301457385,"tumor","original"
8.4,0.00465690240090935,"tumor","original"
8.41,0.00465032512477353,"tumor","original"
8.42,0.00464377106935258,"tumor","original"
8.43,0.00463724011858127,"tumor","original"
8.44,0.00463073215713488,"tumor","original"
8.45,0.00462424707042425,"tumor","original"
8.46,0.0046177847445905,"tumor","original"
8.47,0.00461134506649905,"tumor","original"
8.48,0.00460492792373367,"tumor","original"
8.49,0.00459853320459189,"tumor","original"
8.5,0.00459216079807877,"tumor","original"
8.51,0.0045858105939012,"tumor","original"
8.52,0.00457948248246383,"tumor","original"
8.53,0.00457317635486244,"tumor","original"
