"o","l","source","analysis"
-0.61,1.18852784123788e-06,"mean","original"
-0.6,1.22112677999708e-06,"mean","original"
-0.59,1.25887396235686e-06,"mean","original"
-0.58,1.30221917997781e-06,"mean","original"
-0.57,1.35167725563525e-06,"mean","original"
-0.56,1.40783634398181e-06,"mean","original"
-0.55,1.47136741258606e-06,"mean","original"
-0.54,1.54303506698513e-06,"mean","original"
-0.53,1.62370990541891e-06,"mean","original"
-0.52,1.71438261355438e-06,"mean","original"
-0.51,1.8161800371379e-06,"mean","original"
-0.5,1.93038350143111e-06,"mean","original"
-0.49,2.05844968080636e-06,"mean","original"
-0.48,2.20203436032737e-06,"mean","original"
-0.47,2.36301947386455e-06,"mean","original"
-0.46,2.54354385063787e-06,"mean","original"
-0.45,2.74603815440449e-06,"mean","original"
-0.44,2.97326455715686e-06,"mean","original"
-0.43,3.22836175252507e-06,"mean","original"
-0.42,3.51489598340722e-06,"mean","original"
-0.41,3.83691883398893e-06,"mean","original"
-0.4,4.19903261853365e-06,"mean","original"
-0.39,4.60646428839344e-06,"mean","original"
-0.38,5.06514887499745e-06,"mean","original"
-0.37,5.58182359131204e-06,"mean","original"
-0.36,6.16413383211251e-06,"mean","original"
-0.35,6.82075246280738e-06,"mean","original"
-0.34,7.56151403516457e-06,"mean","original"
-0.33,8.39756614539093e-06,"mean","original"
-0.32,9.34154177217984e-06,"mean","original"
-0.31,1.04077611598856e-05,"mean","original"
-0.3,1.16124850851161e-05,"mean","original"
-0.29,1.29742763233606e-05,"mean","original"
-0.28,1.45146118913161e-05,"mean","original"
-0.27,1.62590836220698e-05,"mean","original"
-0.26,1.8239935054977e-05,"mean","original"
-0.25,2.05014813612963e-05,"mean","original"
-0.24,2.31113935864832e-05,"mean","original"
-0.23,2.61831994037672e-05,"mean","original"
-0.22,2.99189406817706e-05,"mean","original"
-0.21,3.46858577227949e-05,"mean","original"
-0.2,4.1147018756755e-05,"mean","original"
-0.19,5.04722173995615e-05,"mean","original"
-0.18,6.46607987357909e-05,"mean","original"
-0.17,8.70103266634565e-05,"mean","original"
-0.16,0.000122761857770219,"mean","original"
-0.15,0.000179941979589297,"mean","original"
-0.14,0.000270402581394391,"mean","original"
-0.13,0.000411032007375032,"mean","original"
-0.12,0.000625078193054948,"mean","original"
-0.11,0.00094348987297735,"mean","original"
-0.1,0.00140615152828152,"mean","original"
-0.09,0.00206286727441605,"mean","original"
-0.08,0.00297394334945691,"mean","original"
-0.07,0.00421023126718204,"mean","original"
-0.06,0.0058525243802194,"mean","original"
-0.05,0.00799024702693793,"mean","original"
-0.04,0.0107194325986185,"mean","original"
-0.03,0.0141400481080239,"mean","original"
-0.02,0.0183527809742416,"mean","original"
-0.01,0.0234554521510832,"mean","original"
0,0.029539253318883,"mean","original"
0.01,0.0366850216401048,"mean","original"
0.02,0.0449597628633871,"mean","original"
0.03,0.0544136138064874,"mean","original"
0.04,0.0650774016109783,"mean","original"
0.05,0.076960913884848,"mean","original"
0.06,0.0900519456178999,"mean","original"
0.07,0.104316140104228,"mean","original"
0.08,0.119697595960967,"mean","original"
0.09,0.136120173706945,"mean","original"
0.1,0.153489405229216,"mean","original"
0.11,0.17169488875054,"mean","original"
