"dog_number","birth_date","age","sex","group","abridged_Name","fractions","exposure_time","first_exposure_age","dose_per_minute","dose_per_fraction","total_dose","total_dose","daily_dose","days_exposed","first_exposure_age","interrupts",
"75","1959-02-25","524","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"76","1959-02-25","3779","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"77","1952-10-03","4491","M","7600","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"78","1952-10-03","4933","M","7600","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"79","1959-02-25","1458","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"80","1957-03-31","2084","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"81","1960-03-10","3163","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"82","1960-04-03","55","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"83","1960-04-03","110","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"84","1960-04-03","101","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"85","1960-04-03","3377","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"86","1960-04-11","3369","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"87","1960-04-11","966","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"88","1960-04-11","1047","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"89","1960-04-11","15","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"90","1953-01-01","4058","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"91","1960-04-18","95","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"92","1960-04-18","464","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"93","1960-04-18","93","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"94","1960-04-18","93","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"95","1960-04-18","1040","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"96","1960-04-18","1040","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"97","1960-04-18","94","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"98","1960-04-18","1395","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"99","1960-04-18","1","U","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"100","1960-04-20","707","F","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"101","1960-04-20","2862","F","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"102","1960-04-20","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"103","1960-04-22","503","F","7000","Stocks, Breeders, etc.","","","","","","","","","","","",
"104","1960-04-22","2751","M","210","Stocks, Breeders, etc.","","","","","","","","","","","",
"105","1960-04-22","900","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"106","1960-04-22","1407","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"107","1958-05-01","1086","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"108","1958-11-01","613","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"109","1958-09-01","1423","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"110","1958-08-01","705","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"111","1958-10-01","1480","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"112","1958-07-01","794","M","5900","","","","","","","","","","","","",
"113","1958-09-01","1510","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"114","1958-11-01","4030","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"115","1958-08-01","705","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"116","1958-10-01","1063","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"117","1958-10-01","1412","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"118","1958-10-01","644","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"119","1958-10-01","697","M","5900","","","","","","","","","","","","",
"120","1958-08-01","1124","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"121","1958-05-01","1049","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"122","1958-08-01","1315","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"123","1958-08-01","1541","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"124","1958-10-01","4293","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"125","1958-09-01","1510","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"126","1958-07-01","1572","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"127","1958-11-01","999","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"128","1958-10-01","3363","M","5500","Life-Span: Single Injection of Cesium-137","","","","","","","","","","","",
"129","1958-11-01","681","M","5900","","","","","","","","","","","","",
"130","1959-12-01","590","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"131","1958-08-01","1541","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"132","1958-10-01","696","M","5900","","","","","","","","","","","","",
"133","1958-08-01","694","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"134","1960-01-01","165","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"135","1960-01-01","187","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"136","1959-01-01","536","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"137","1960-01-01","187","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"138","1960-01-01","171","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"139","1960-01-01","161","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"140","1960-01-01","187","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"141","1959-12-01","218","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"142","1960-02-01","156","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"143","1960-02-01","156","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"144","1960-02-01","156","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"145","1960-01-01","187","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"146","1960-01-01","187","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"147","1960-06-05","1324","M","5100","Acute Exposure and Reticuloendothelial System","1","30.0","415","8.1","244.0","244.0","","","","","",
"148","1960-06-05","1326","F","5100","Acute Exposure and Reticuloendothelial System","1","30.0","415","8.1","244.0","244.0","","","","","",
"149","1960-06-05","1331","F","5100","Acute Exposure and Reticuloendothelial System","1","30.0","415","8.1","244.0","244.0","","","","","",
"150","1960-06-05","491","F","5100","Acute Exposure and Reticuloendothelial System","1","30.0","415","8.1","244.0","244.0","","","","","",
"151","1960-06-05","1382","F","5100","Acute Exposure and Reticuloendothelial System","1","30.0","415","8.1","244.0","244.0","","","","","",
"152","1958-12-01","577","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"153","1958-12-01","3655","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"154","1959-01-01","3402","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"155","1958-12-01","3521","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"156","1958-11-01","2433","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"157","1958-12-01","583","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"158","1959-01-01","552","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"159","1958-12-01","583","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"160","1958-12-01","583","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"161","1958-10-01","692","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"162","1958-12-01","583","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"163","1958-12-01","4075","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"164","1958-12-01","583","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"165","1958-11-01","629","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"166","1958-12-01","3660","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"167","1958-08-01","4199","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"168","1958-08-01","705","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"169","1958-11-01","613","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"170","1958-11-01","4028","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
