"dog_number","birth_date","age","sex","group","abridged_Name","fractions","exposure_time","first_exposure_age","dose_per_minute","dose_per_fraction","total_dose","total_dose","daily_dose","days_exposed","first_exposure_age","interrupts",
"721","1963-10-04","2233","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"722","1963-10-04","3686","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"723","1963-10-04","1474","F","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"724","1963-10-04","3338","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"725","1963-10-04","2462","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"726","1963-10-04","934","M","5800","Development of Techniques and Proceedures","","","","","","","","","","","",
"727","1963-11-06","7","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"728","1963-11-06","1714","F","6700","Development of Techniques and Proceedures","","","","","","","","","","","",
"729","1963-11-06","250","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"730","1963-11-06","1252","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"731","1963-11-07","2182","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"732","1963-11-07","5158","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"733","1963-11-07","4709","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"734","1963-11-07","1992","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"735","1963-11-07","2681","M","210","Stocks, Breeders, etc.","","","","","","","","","","","",
"736","1963-11-07","1343","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"737","1963-11-16","956","F","6700","Development of Techniques and Proceedures","","","","","","","","","","","",
"738","1963-11-16","1340","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"739","1963-11-16","2173","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"740","1963-11-16","1242","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"741","1963-11-16","2173","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"742","1963-11-16","866","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"743","1963-11-16","2173","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"744","1963-11-16","2","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"745","1963-12-02","1747","F","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"746","1963-12-02","1716","F","7500","Development of Techniques and Proceedures","","","","","","","","","","","",
"747","1963-12-02","1946","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"748","1963-12-02","1689","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"749","1963-12-02","2167","M","7500","Development of Techniques and Proceedures","","","","","","","","","","","",
"750","1963-12-08","24","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"751","1963-12-08","2169","F","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"752","1963-12-08","2151","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"753","1963-12-08","2192","M","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"754","1963-12-08","2965","M","300","Stocks, Breeders, etc.","","","","","","","","","","","",
"755","1963-12-08","2097","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"756","1963-12-08","5890","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"757","1963-12-16","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"758","1963-12-16","23","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"759","1963-12-16","23","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"760","1963-12-16","23","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"761","1963-12-16","23","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"762","1963-12-16","23","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"763","1963-12-16","23","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"764","1963-12-18","5","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"765","1963-12-18","1098","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"766","1963-12-18","2141","F","8100","Stocks, Breeders, etc.","","","","","","","","","","","",
"767","1963-12-18","1210","F","8100","Stocks, Breeders, etc.","","","","","","","","","","","",
"768","1963-12-18","1052","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"769","1963-12-18","25","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"770","1963-12-18","2094","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"771","1963-12-18","23","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"772","1963-12-21","2393","F","7000","Stocks, Breeders, etc.","","","","","","","","","","","",
"773","1963-12-21","2635","F","7000","Stocks, Breeders, etc.","","","","","","","","","","","",
"774","1963-12-21","599","F","6000","RadioIodine Effects on Thyroid and Adrenal Gland","","","","","","","","","","","",
"775","1963-12-21","2615","M","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"776","1963-12-23","114","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"777","1963-12-23","114","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"778","1963-12-23","114","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"779","1963-12-23","1205","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"780","1963-12-23","5415","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"781","1963-12-23","4","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"782","1964-01-11","3","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"783","1964-01-11","422","F","5100","Acute Exposure and Reticuloendothelial System","1","23.3","404","11.2","262.0","262.0","","","","","",
"784","1964-01-11","419","M","5100","Acute Exposure and Reticuloendothelial System","1","23.3","404","11.2","262.0","262.0","","","","","",
"785","1964-01-11","419","M","5100","Acute Exposure and Reticuloendothelial System","1","23.3","404","11.2","262.0","262.0","","","","","",
"786","1964-01-17","2","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"787","1964-01-17","415","F","5100","Acute Exposure and Reticuloendothelial System","1","23.3","398","11.2","262.0","262.0","","","","","",
"788","1964-01-17","415","M","5100","Acute Exposure and Reticuloendothelial System","1","23.3","398","11.2","262.0","262.0","","","","","",
"789","1964-01-17","34","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"790","1964-01-17","414","M","5100","Acute Exposure and Reticuloendothelial System","1","23.3","398","11.2","262.0","262.0","","","","","",
"791","1964-01-17","420","F","5100","Acute Exposure and Reticuloendothelial System","1","23.3","398","11.2","262.0","262.0","","","","","",
"792","1964-01-17","417","F","5100","Acute Exposure and Reticuloendothelial System","1","23.3","398","11.2","262.0","262.0","","","","","",
"793","1964-01-17","415","M","5100","Acute Exposure and Reticuloendothelial System","1","23.3","398","11.2","262.0","262.0","","","","","",
"794","1964-01-17","3434","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"795","1964-01-31","10","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"796","1964-01-31","10","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"797","1964-01-31","10","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"798","1964-01-31","10","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"799","1964-01-31","10","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"800","1964-02-01","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"801","1964-02-01","526","F","5100","Acute Exposure and Reticuloendothelial System","2","18.3","408","11.2","206.0","412.0","","","","","",
"802","1964-02-01","3238","M","5100","Acute Exposure and Reticuloendothelial System","3","18.3","408","11.2","206.0","619.0","","","","","",
"803","1964-02-01","3837","M","5100","Acute Exposure and Reticuloendothelial System","2","20.0","408","11.2","225.0","450.0","","","","","",
"804","1964-02-01","2789","M","5100","Acute Exposure and Reticuloendothelial System","3","20.0","408","11.2","225.0","675.0","","","","","",
"805","1964-02-01","617","M","5100","Acute Exposure and Reticuloendothelial System","3","21.7","408","11.2","244.0","731.0","","","","","",
"806","1964-02-01","3981","M","5100","Acute Exposure and Reticuloendothelial System","3","21.7","408","11.2","244.0","731.0","","","","","",
"807","1964-02-01","536","F","5100","Acute Exposure and Reticuloendothelial System","2","18.3","408","11.2","206.0","412.0","","","","","",
"808","1964-02-01","436","F","5100","Acute Exposure and Reticuloendothelial System","1","20.0","408","11.2","225.0","225.0","","","","","",
"809","1964-02-01","534","F","5100","Acute Exposure and Reticuloendothelial System","2","21.7","408","11.2","244.0","488.0","","","","","",
"810","1964-02-01","4674","F","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"811","1964-02-01","437","M","5100","Acute Exposure and Reticuloendothelial System","1","18.3","408","11.2","206.0","206.0","","","","","",
"812","1964-02-01","530","M","5100","Acute Exposure and Reticuloendothelial System","2","19.1","507","10.8","207.0","413.0","","","","","",
"813","1964-02-02","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"814","1964-02-02","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"815","1964-02-02","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"816","1964-02-02","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"817","1964-02-02","538","F","5100","Acute Exposure and Reticuloendothelial System","2","21.7","407","11.2","244.0","488.0","","","","","",
"818","1964-02-02","616","M","5100","Acute Exposure and Reticuloendothelial System","3","18.3","407","11.2","206.0","619.0","","","","","",
"819","1964-02-10","623","F","5100","Acute Exposure and Reticuloendothelial System","3","20.0","399","11.2","225.0","675.0","","","","","",
"820","1964-02-10","2087","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"821","1964-02-10","427","M","5100","Acute Exposure and Reticuloendothelial System","1","21.7","399","11.2","244.0","244.0","","","","","",
"822","1964-02-10","2087","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"823","1964-02-13","518","F","5100","Acute Exposure and Reticuloendothelial System","2","18.3","396","11.2","206.0","412.0","","","","","",
"824","1964-02-16","488","F","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"825","1964-02-16","1355","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"826","1964-02-16","511","F","5100","Acute Exposure and Reticuloendothelial System","2","20.0","393","11.2","225.0","450.0","","","","","",
"827","1964-02-16","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"828","1964-02-16","2315","M","5100","Acute Exposure and Reticuloendothelial System","3","21.7","393","11.2","244.0","731.0","","","","","",
"829","1964-02-20","3","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"830","1964-02-20","595","M","5100","Acute Exposure and Reticuloendothelial System","3","18.3","389","11.2","206.0","619.0","","","","","",
"831","1964-02-20","601","M","5100","Acute Exposure and Reticuloendothelial System","3","20.0","389","11.2","225.0","675.0","","","","","",
"832","1964-02-20","517","M","5100","Acute Exposure and Reticuloendothelial System","2","21.7","389","11.2","244.0","488.0","","","","","",
"833","1964-02-20","599","M","5100","Acute Exposure and Reticuloendothelial System","3","18.3","389","11.2","206.0","619.0","","","","","",
"834","1964-02-20","408","M","5100","Acute Exposure and Reticuloendothelial System","1","20.0","389","11.2","225.0","225.0","","","","","",
"835","1964-03-16","0","M","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"836","1964-03-17","0","F","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"837","1964-03-17","2550","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"838","1964-03-17","4810","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"839","1964-03-17","4","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"840","1964-03-17","1477","M","7500","Development of Techniques and Proceedures","","","","","","","","","","","",
"841","1964-03-17","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"842","1964-03-19","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"843","1964-03-19","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"844","1964-03-19","8","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"845","1964-04-16","9","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"846","1964-04-18","436","F","5100","Acute Exposure and Reticuloendothelial System","1","23.6","416","10.8","255.0","255.0","","","","","",
"847","1964-04-18","434","F","5100","Acute Exposure and Reticuloendothelial System","1","25.3","416","10.8","274.0","274.0","","","","","",
"848","1964-04-18","436","F","5100","Acute Exposure and Reticuloendothelial System","1","23.6","416","10.8","255.0","255.0","","","","","",
"849","1964-04-18","433","F","5100","Acute Exposure and Reticuloendothelial System","1","25.3","416","10.8","274.0","274.0","","","","","",
"850","1964-04-18","440","M","5100","Acute Exposure and Reticuloendothelial System","1","23.6","416","10.8","255.0","255.0","","","","","",
"851","1964-04-18","438","M","5100","Acute Exposure and Reticuloendothelial System","1","25.3","416","10.8","274.0","274.0","","","","","",
"852","1964-04-30","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"853","1964-04-30","425","F","5100","Acute Exposure and Reticuloendothelial System","1","23.6","404","10.8","255.0","255.0","","","","","",
"854","1964-04-30","3","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"855","1964-04-30","420","M","5100","Acute Exposure and Reticuloendothelial System","1","25.3","404","10.8","274.0","274.0","","","","","",
"856","1964-04-30","5713","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"857","1964-04-30","2247","M","5100","Acute Exposure and Reticuloendothelial System","2","23.6","404","10.8","255.0","510.0","","","","","",
"858","1964-04-30","421","M","5100","Acute Exposure and Reticuloendothelial System","1","25.3","404","10.8","274.0","274.0","","","","","",
"859","1964-05-04","421","F","5100","Acute Exposure and Reticuloendothelial System","1","23.6","400","10.8","255.0","255.0","","","","","",
"860","1964-05-04","417","F","5100","Acute Exposure and Reticuloendothelial System","1","25.3","400","10.8","274.0","274.0","","","","","",
"861","1964-05-04","2","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"862","1964-05-04","414","F","5100","Acute Exposure and Reticuloendothelial System","1","25.3","400","10.8","274.0","274.0","","","","","",
"863","1964-05-04","416","M","5100","Acute Exposure and Reticuloendothelial System","1","23.6","400","10.8","255.0","255.0","","","","","",
"864","1964-05-04","415","M","5100","Acute Exposure and Reticuloendothelial System","1","23.6","400","10.8","255.0","255.0","","","","","",
"865","1964-05-04","415","M","5100","Acute Exposure and Reticuloendothelial System","1","25.3","400","10.8","274.0","274.0","","","","","",
"866","1964-05-07","416","F","5100","Acute Exposure and Reticuloendothelial System","1","35.3","397","10.8","382.0","382.0","","","","","",
"867","1964-05-07","3187","F","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"868","1964-05-26","3","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"869","1964-05-26","1926","F","7500","Development of Techniques and Proceedures","","","","","","","","","","","",
"870","1964-05-26","2101","F","7200","Hematological Changes","","","","","","","","","","","",
"871","1964-05-26","1926","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"872","1964-05-26","1443","M","7200","Hematological Changes","","","","","","","","","","","",
"873","1964-05-26","1443","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"874","1964-05-30","16","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"875","1964-05-30","1","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"876","1964-05-30","3","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"877","1964-05-30","2","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"878","1964-05-30","2","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"879","1964-05-30","2476","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"880","1964-06-02","43","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"881","1964-06-02","1974","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"882","1964-06-02","43","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"883","1964-06-02","43","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"884","1964-06-02","675","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"885","1964-06-02","1248","M","210","Stocks, Breeders, etc.","","","","","","","","","","","",
"886","1964-06-10","2392","F","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"887","1964-06-10","491","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1458.0","54","27","464","0",
"888","1964-06-10","497","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1238.0","38","33","464","0",
"889","1964-06-10","511","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1208.0","26","46","465","0",
"890","1964-06-10","4","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"891","1964-06-10","558","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1690.0","18","92","466","0",
"892","1964-06-14","541","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1452.0","18","79","462","0",
"893","1964-06-14","506","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1181.0","26","45","461","0",
"894","1964-06-14","2","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"895","1964-06-14","485","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1350.0","54","25","460","0",
"896","1964-06-14","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"897","1964-06-14","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"898","1964-06-14","0","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"899","1964-06-14","0","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"900","1964-06-14","631","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1837.0","18","100","462","0",
"901","1964-06-14","15","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"902","1964-06-14","492","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1200.0","38","32","460","0",
"903","1964-06-15","2955","F","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"904","1964-06-15","489","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1125.0","38","30","459","0",
"905","1964-06-15","628","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1275.0","13","100","462","0",
"906","1964-06-15","15","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"907","1964-06-15","501","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1076.0","26","41","460","0",
"908","1964-06-15","867","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1275.0","13","100","462","0",
"909","1964-06-15","4048","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1275.0","13","100","462","0",
"910","1964-07-02","471","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1566.0","54","29","442","0",
"911","1964-07-02","481","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1463.0","38","39","442","0",
"912","1964-07-02","487","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1155.0","26","44","443","0",
"913","1964-07-02","517","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1943.0","26","74","443","0",
"914","1964-07-02","3423","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"915","1964-07-02","531","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1176.0","18","64","467","0",
"916","1964-07-02","479","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1388.0","38","37","442","0",
"917","1964-07-20","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"918","1964-07-20","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"919","1964-07-20","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"920","1964-07-20","3125","F","7500","Development of Techniques and Proceedures","","","","","","","","","","","",
"921","1964-07-20","1926","F","7500","Development of Techniques and Proceedures","","","","","","","","","","","",
"922","1964-07-23","6","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"923","1964-07-24","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"924","1964-07-24","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"925","1964-07-24","504","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1047.0","18","57","447","0",
"926","1964-07-24","508","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1497.0","26","57","451","0",
"927","1964-07-24","2","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"928","1964-07-24","7","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"929","1964-07-24","1","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"930","1964-07-24","2","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"931","1964-07-24","2","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"932","1964-07-24","443","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1242.0","54","23","420","0",
"933","1964-07-24","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"934","1964-07-24","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"935","1964-07-24","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"936","1964-07-24","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"937","1964-07-24","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"938","1964-07-24","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"939","1964-07-24","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"940","1964-07-24","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"941","1964-07-24","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"942","1964-07-27","2909","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1837.0","18","100","419","0",
"943","1964-07-27","922","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1275.0","13","100","420","0",
"944","1964-07-27","5623","F","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"945","1964-07-27","4186","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1837.0","18","100","419","0",
"946","1964-07-27","474","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","2138.0","38","57","417","0",
"947","1964-07-29","1","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"948","1964-07-29","2541","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1837.0","18","100","417","0",
"949","1964-07-29","547","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1275.0","13","100","418","0",
"950","1964-07-29","2871","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1837.0","18","100","417","0",
"951","1964-07-29","2","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"952","1964-08-03","485","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1050.0","26","40","445","0",
"953","1964-08-03","479","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1238.0","38","33","446","0",
"954","1964-08-03","2338","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1275.0","13","100","413","0",
"955","1964-08-03","553","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1275.0","13","100","413","0",
"956","1964-09-05","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"957","1964-09-05","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"958","1964-09-05","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"959","1964-09-05","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"960","1964-09-05","5","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"961","1964-09-05","5","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"962","1964-09-05","9","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"963","1964-09-09","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"964","1964-09-09","5180","F","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"965","1964-09-09","439","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1050.0","38","28","411","0",
"966","1964-09-09","447","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","735.0","26","28","419","0",
"967","1964-09-09","432","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","540.0","54","10","422","0",
"968","1964-09-09","427","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","270.0","54","5","422","0",
"969","1964-09-09","415","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1076.0","26","41","374","0",
"970","1964-09-15","440","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","525.0","26","20","420","0",
"971","1964-09-15","461","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","735.0","18","40","421","0",
"972","1964-09-15","428","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","378.0","54","7","421","0",
"973","1964-09-15","444","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","750.0","38","20","424","0",
"974","1964-09-15","3961","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"975","1964-09-15","449","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","525.0","38","14","435","0",
"976","1964-09-28","0","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"977","1964-09-28","443","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","756.0","54","14","429","0",
"978","1964-09-28","450","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1080.0","54","20","430","0",
"979","1964-11-02","0","M","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"980","1964-11-02","0","M","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"981","1964-11-02","0","M","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"982","1964-11-02","2080","F","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"983","1964-11-02","2319","M","7300","Development of Techniques and Proceedures","","","","","","","","","","","",
"984","1964-11-02","2318","M","7000","Stocks, Breeders, etc.","","","","","","","","","","","",
"985","1964-11-04","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"986","1964-11-06","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"987","1964-11-06","6","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"988","1964-11-06","4","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"989","1964-11-06","345","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1125.0","38","30","315","0",
"990","1964-11-06","12","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"991","1964-11-13","355","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1763.0","38","47","308","0",
"992","1964-11-13","377","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1785.0","26","68","309","0",
"993","1964-11-13","0","M","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"994","1964-11-13","376","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1759.0","26","67","309","0",
"995","1964-11-13","3212","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1275.0","13","100","311","0",
"996","1964-11-13","395","F","5100","Acute Exposure and Reticuloendothelial System","","","","","","","375.0","38","10","385","0",
"997","1964-11-13","133","M","100","Stocks, Breeders, etc.","","","","","","","","","","","",
"998","1964-11-13","1117","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"999","1964-11-13","3882","M","5100","Acute Exposure and Reticuloendothelial System","","","","","","","1837.0","18","100","310","0",
"1000","1964-11-13","504","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"1001","1964-11-15","0","F","8400","Stocks, Breeders, etc.","","","","","","","","","","","",
"1002","1964-11-15","1753","F","220","Stocks, Breeders, etc.","","","","","","","","","","","",
"1003","1964-11-15","3","F","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"1004","1964-11-15","1753","M","210","Stocks, Breeders, etc.","","","","","","","","","","","",
"1005","1964-11-15","5","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
"1006","1964-11-15","2","M","10","Stocks, Breeders, etc.","","","","","","","","","","","",
