"o","tumor","lifespan","mean"
-2,6.21351868772764e-08,0.000207136488587586,0.000103599311887231
-1.99,5.77206270219453e-08,0.000202376088222757,0.000101216904424889
-1.98,5.35641094915871e-08,0.000197683599317923,9.88685817137075e-05
-1.97,4.96543268631692e-08,0.000193058935980483,9.65542951536732e-05
-1.96,4.59802556156104e-08,0.00018850200011733,9.42739901864731e-05
-1.95,4.2531158327105e-08,0.000184012681309098,9.20276062337124e-05
-1.94,3.92965855205468e-08,0.000179590856688806,8.98150766371635e-05
-1.93,3.62663771511363e-08,0.000175236390825102,8.76363286011264e-05
-1.92,3.34306637311219e-08,0.000170949135610402,8.54912831370665e-05
-1.91,3.07798670874169e-08,0.000166728930154178,8.33798550106328e-05
-1.9,2.83047007487126e-08,0.000162575600681642,8.13019526911956e-05
-1.89,2.59961699595794e-08,0.000158488960438094,7.92574783040269e-05
-1.88,2.38455713200565e-08,0.000154468809599191,7.72463275852556e-05
-1.87,2.18444920501504e-08,0.000150514935187486,7.52683898397681e-05
-1.86,1.99848088797258e-08,0.0001466271109954,7.332354790214e-05
-1.85,1.82586865652899e-08,0.000142805097514986,7.14116781007758e-05
-1.84,1.66585760362728e-08,0.000139048641874771,6.95326502254035e-05
-1.83,1.51772121744692e-08,0.000135357477783888,6.76863274980314e-05
-1.82,1.38076112314757e-08,0.000131731325483913,6.58725665475725e-05
-1.81,1.25430678900217e-08,0.000128169891708534,6.40912173882119e-05
-1.8,1.13771519763059e-08,0.000124672869651505,6.23421234017406e-05
-1.79,1.03037048315277e-08,0.000121239938943061,6.06251213239465e-05
-1.78,9.31683535199373e-09,0.000117870765635144,5.89400412352481e-05
-1.77,8.41091570827831e-09,0.000114565002195698,5.72867065557032e-05
-1.76,7.58057675506514e-09,0.000111322287512361,5.56649340445582e-05
-1.75,6.8207031443659e-09,0.000108142246905807,5.40745338044755e-05
-1.74,6.12642815590054e-09,0.000105024492153039,5.25153092905976e-05
-1.73,5.49312825945249e-09,0.000101968621520929,5.09870573245942e-05
-1.72,4.91641742499529e-09,9.8974219810271e-05,4.9489568113848e-05
-1.71,4.39214119733618e-09,9.60408584106049e-05,4.80226252759011e-05
-1.7,3.91637055290109e-09,9.31680953661364e-05,4.65860058683446e-05
-1.69,3.48539555710659e-09,9.03554754529605e-05,4.51794804242588e-05
-1.68,3.09571884150659e-09,8.76025302678832e-05,4.38028129933623e-05
-1.67,2.74404892057141e-09,8.49087783290704e-05,4.24557611889955e-05
-1.66,2.42729336854041e-09,8.22737251887907e-05,4.11380762410796e-05
-1.65,2.14255187727389e-09,7.96968635584481e-05,3.98495030551627e-05
-1.64,1.88710921642285e-09,7.71776734461667e-05,3.85897802776916e-05
-1.63,1.65842811752441e-09,7.47156223071127e-05,3.73586403676151e-05
-1.62,1.45414210380405e-09,7.23101652067522e-05,3.6155809674428e-05
-1.61,1.2720482875353e-09,6.99607449972398e-05,3.49810085227637e-05
-1.6,1.1101001567532e-09,6.76667925071015e-05,3.38339513036291e-05
-1.59,9.66400372948975e-10,6.5427726744368e-05,3.27143465723705e-05
-1.58,8.39193601080062e-10,6.32429551132818e-05,3.16218971534415e-05
-1.57,7.26859392819783e-10,6.11118736447191e-05,3.05563002520559e-05
-1.56,6.27905143433203e-10,5.90338672404034e-05,2.95172475727734e-05
-1.55,5.40959142016292e-10,5.70083099309984e-05,2.85044254450702e-05
-1.54,4.6476373406197e-10,5.50345651481416e-05,2.75175149559379e-05
-1.53,3.98168614436005e-10,5.31119860104292e-05,2.65561920895218e-05
-1.52,3.40124267853692e-10,5.12399156233956e-05,2.56201278738317e-05
-1.51,2.89675572857137e-10,4.94176873934291e-05,2.4708988534501e-05
-1.5,2.45955584106978e-10,4.76446253556167e-05,2.38224356556004e-05
-1.49,2.08179506531773e-10,4.59200445154241e-05,2.29601263474653e-05
-1.48,1.75638873533606e-10,4.42432512041077e-05,2.21217134214906e-05
-1.47,1.47695940038007e-10,4.26135434477494e-05,2.13068455718447e-05
-1.46,1.23778299715645e-10,4.10302113497176e-05,2.05151675640087e-05
-1.45,1.03373734201654e-10,3.94925374863921e-05,1.97463204300632e-05
-1.44,8.60253006118068e-11,3.79997973158984e-05,1.89999416705995e-05
-1.43,7.13266621157455e-11,3.65512595995991e-05,1.82756654631306e-05
-1.42,5.89176647906075e-11,3.51461868360441e-05,1.75731228768544e-05
-1.41,4.8480162458575e-11,3.3783835707038e-05,1.68919420936002e-05
-1.4,3.97340897228187e-11,3.24634575354574e-05,1.62317486347736e-05
-1.39,3.24337819728468e-11,3.11842987544076e-05,1.55921655940948e-05
-1.38,2.63645397456277e-11,2.9945601387269e-05,1.49728138759044e-05
-1.37,2.13394335162948e-11,2.87466035381501e-05,1.43733124387918e-05
-1.36,1.71963437636794e-11,2.75865398922198e-05,1.37932785442818e-05
-1.35,1.37952300224694e-11,2.64646422253606e-05,1.32323280102953e-05
-1.34,1.10156216049417e-11,2.53801399225348e-05,1.26900754690782e-05
-1.33,8.75432175930138e-12,2.43322605042327e-05,1.21661346292772e-05
-1.32,6.92331623509053e-12,2.33202301603157e-05,1.1660118541816e-05
-1.31,5.4478765536791e-12,2.23432742905508e-05,1.11716398692137e-05
-1.3,4.26484773648558e-12,2.14006180510762e-05,1.0700311157962e-05
-1.29,3.32110982626437e-12,2.04914869060234e-05,1.02457451135666e-05
-1.28,2.57220224661762e-12,1.96151071834662e-05,9.80755487783421e-06
-1.27,1.98109987910778e-12,1.8770706634858e-05,9.38535430797895e-06
-1.26,1.51712969130296e-12,1.79575149970698e-05,8.97875825709974e-06
-1.25,1.15501681649092e-12,1.71747645561222e-05,8.58738285556951e-06
