"o","tumor","lifespan","mean"
-2,6.34401068574031e-08,0.000257840055736814,0.000128951747921836
-1.99,5.89328354862916e-08,0.000251914388541398,0.000125986660688442
-1.98,5.46890256655952e-08,0.000246073256401829,0.000123063972713747
-1.97,5.06971325016469e-08,0.000240316552400422,0.000120183624766462
-1.96,4.69459009650425e-08,0.000234644154432511,0.000117345550166738
-1.95,4.34243681341116e-08,0.000229055925049904,0.000114549674709019
-1.94,4.0121865079097e-08,0.000223551711309831,0.000111795916587455
-1.93,3.7028018381005e-08,0.000218131344629593,0.000109084186323987
-1.92,3.4132751279966e-08,0.000212794640647336,0.000106414386699308
-1.91,3.14262844487639e-08,0.000207541399089205,0.000103786412686827
-1.9,2.88991363880783e-08,0.000202371403643236,0.000101200151389812
-1.89,2.65421234408818e-08,0.000197284421840282,9.86554819818613e-05
-1.88,2.43463594244607e-08,0.000192280204942326,9.61522756508753e-05
-1.87,2.23032548794674e-08,0.000187358487838585,9.36903955467323e-05
-1.86,2.04045159364966e-08,0.000182518988949627,9.12696967327816e-05
-1.85,1.86421428017212e-08,0.000177761410139942,8.88900261413719e-05
-1.84,1.70084278642415e-08,0.000173085436639327,8.65512225335955e-05
-1.83,1.54959534288924e-08,0.000168490736973341,8.42531164633849e-05
-1.82,1.40975890794439e-08,0.00016397696290335,8.19955302462146e-05
-1.81,1.28064886782154e-08,0.000159543749376325,7.97782779325017e-05
-1.8,1.16160870093676e-08,0.000155190714484957,7.76011652859832e-05
-1.79,1.05200960742312e-08,0.000150917459438291,7.54639897671824e-05
-1.78,9.51250104825018e-09,0.000146723568543336,7.33665405221921e-05
-1.77,8.58755591023943e-09,0.000142608609197971,7.13085983769408e-05
-1.76,7.7397787558269e-09,0.000138572131895535,6.92899358371454e-05
-1.75,6.96394680804354e-09,0.000134613670241432,6.73103170941203e-05
-1.74,6.25509113913475e-09,0.000130732740982137,6.53694980366382e-05
-1.73,5.60849111871797e-09,0.00012692884404693,6.34672262690246e-05
-1.72,5.01966860441462e-09,0.000123201462602748,6.16032411356762e-05
-1.71,4.48438189205335e-09,0.000119550063122418,5.9777273752155e-05
-1.7,3.99861944343963e-09,0.000115974095466718,5.79890470430808e-05
-1.69,3.55859341052411e-09,0.000112472992980504,5.62382757869571e-05
-1.68,3.16073297556102e-09,0.000109046172603269,5.45246666681223e-05
-1.67,2.8016775275308e-09,0.000105693034994436,5.28479183359818e-05
-1.66,2.47826969569773e-09,0.000102412964673693,5.12077214716941e-05
-1.65,2.18754826166772e-09,9.92053301766317e-05,4.96037588624467e-05
-1.64,1.92674097171241e-09,9.60694842260154e-05,4.80357054834935e-05
-1.63,1.69325727142131e-09,9.30047639188921e-05,4.65032285880818e-05
-1.62,1.48468098492056e-09,9.0010490929818e-05,4.50059878054014e-05
-1.61,1.29876296096775e-09,8.70859717304219e-05,4.35436352466915e-05
-1.6,1.13341370817697e-09,8.42304978255201e-05,4.21158156196141e-05
-1.59,9.86696041455674e-10,8.14433460059724e-05,4.07221663510069e-05
-1.58,8.56817761435558e-10,7.87237786184367e-05,3.9362317718099e-05
-1.57,7.42124388261201e-10,7.6071043852193e-05,3.80358929882906e-05
-1.56,6.41091970551123e-10,7.3484376043138e-05,3.67425085675543e-05
-1.55,5.52319989682904e-10,7.09629959950531e-05,3.54817741575214e-05
-1.54,4.745243787642e-10,6.85061113182288e-05,3.42532929213038e-05
-1.53,4.06530674752378e-10,6.61129167854529e-05,3.30566616580638e-05
-1.52,3.47267321172657e-10,6.37825947054207e-05,3.18914709863709e-05
-1.51,2.95759137770565e-10,6.15143153134917e-05,3.07573055363147e-05
-1.5,2.5112097222368e-10,5.93072371797853e-05,2.96537441503788e-05
-1.49,2.12551547740287e-10,5.71605076344986e-05,2.85803600930232e-05
-1.48,1.79327518999719e-10,5.50732632103174e-05,2.75367212689182e-05
-1.47,1.50797747448997e-10,5.30446301017839e-05,2.65223904497657e-05
-1.46,1.26377805479168e-10,5.10737246413788e-05,2.55369255095921e-05
-1.45,1.05544717471511e-10,4.91596537921125e-05,2.4579879668415e-05
-1.44,8.78319441451475e-11,4.73015156563106e-05,2.36508017441274e-05
-1.43,7.28246150662116e-11,4.549840000028e-05,2.27492364124475e-05
-1.42,6.01550126096383e-11,4.37493887944821e-05,2.18747244747474e-05
-1.41,4.94983091128492e-11,4.2053556768791e-05,2.102680313355e-05
-1.4,4.05685574403434e-11,4.04099719823758e-05,2.02050062754666e-05
-1.39,3.31149337043292e-11,3.88176964077e-05,1.94088647613169e-05
-1.38,2.69182294729775e-11,3.72757865280749e-05,1.86379067231522e-05
-1.37,2.17875894575491e-11,3.5783293948167e-05,1.78916578678782e-05
-1.36,1.75574894154447e-11,3.4339266016804e-05,1.71696417871467e-05
-1.35,1.40849478488971e-11,3.29427464613822e-05,1.6471380273165e-05
-1.34,1.12469640285864e-11,3.159277603312e-05,1.5796393640042e-05
-1.33,8.93817393630912e-12,3.02883931623723e-05,1.51442010502731e-05
-1.32,7.06871490753275e-12,2.90286346231492e-05,1.4514320845932e-05
-1.31,5.56228906809224e-12,2.78125362059644e-05,1.39062708841267e-05
-1.3,4.35441510246985e-12,2.66391333980664e-05,1.33195688762408e-05
-1.29,3.39085746502254e-12,2.5507462070089e-05,1.27537327304732e-05
-1.28,2.62622184924902e-12,2.44165591680867e-05,1.22082808971543e-05
-1.27,2.02270556092508e-12,2.33654634099134e-05,1.16827327163095e-05
