"o","LSS_likelihood","Radiobiological_prior","Combined_posterior"
0.56,0.706391002660197,0.542400031756825,1.11386324919322
0.58,0.680317151226889,0.535680030575671,1.05945834597714
0.6,0.654698739975167,0.528499134563415,1.00589533806367
0.62,0.629631371555624,0.52098611542547,0.953629149852878
0.64,0.605191399792414,0.513249092235277,0.903000409973605
0.66,0.581438156350205,0.505377479477759,0.854252824527887
0.68,0.558416067825992,0.49744403483932,0.807549482760903
0.7,0.536156634028658,0.489506910013962,0.762987671550796
0.72,0.514680249959379,0.481611634109191,0.720611987618819
0.74,0.493997863187799,0.473792980915261,0.680425690480479
0.76,0.474112465285818,0.466076688753065,0.642400345020373
0.78,0.4550204210887,0.458481015338391,0.606483870219559
0.8,0.436712643137366,0.451018120617508,0.572607149125593
0.82,0.419175621018829,0.443695278352149,0.540689372460844
0.84,0.40239231672932,0.436515922836069,0.510642290730231
0.86,0.386342937861345,0.429480540936697,0.482373542368236
0.88,0.371005600549433,0.422587422043932,0.455789212196875
0.9,0.356356893851846,0.415833279795384,0.430795758071414
0.92,0.342372356718527,0.409213759899006,0.407301426051632
0.94,0.329026877994234,0.402723848211416,0.385217257087755
0.96,0.316295029102943,0.39635819263452,0.364457771893435
0.98,0.304151338209698,0.390111351506139,0.344941405868891
1,0.292570513799109,0.383977980097101,0.326590752859006
1.02,0.281527624773622,0.377952965672286,0.30933266522769
1.04,0.270998243378565,0.372031520393635,0.293098248137419
1.06,0.260958556516707,0.366209240184639,0.277822777906457
1.08,0.251385450329465,0.360482136572313,0.263445567709381
1.1,0.242256572297703,0.354846647495979,0.249909798509038
1.12,0.233550374552331,0.349299632133896,0.237162328781076
1.14,0.225246141581937,0.343838353956502,0.225153493150228
1.16,0.217324005078047,0.338460455468886,0.213836897348625
1.18,0.209764948264791,0.333163927452483,0.203169214798025
1.2,0.202550801714058,0.327947074952901,0.193109988495848
1.22,0.195664232345565,0.322808481779119,0.183621440651786
1.24,0.189088727048903,0.317746974873671,0.1746682915976
1.26,0.182808572137652,0.312761589573371,0.166217588809853
1.28,0.176808829649733,0.307851536500915,0.158238546391112
1.3,0.171075311339923,0.303016170598771,0.150702395004631
1.32,0.165594551066256,0.298254962633644,0.143582242017226
1.34,0.160353776148969,0.293567473353665,0.136852941446559
1.36,0.155340878175867,0.288953330367608,0.130490973211969
1.38,0.150544383639182,0.284412207728485,0.124474331134904
1.4,0.145953424713802,0.279943808139806,0.118782419113751
1.42,0.141557710423472,0.27554784765694,0.113395954898812
1.44,0.137347498388391,0.271224042724338,0.108296880908626
1.46,0.133313567303152,0.266972099370138,0.103468281554164
1.48,0.129447190256926,0.262791704369303,0.0988943065681274
1.5,0.125740108977067,0.258682518183173,0.0945600998702011
1.52,0.12218450905195,0.254644169485822,0.0904517335336338
1.54,0.118772996168091,0.25067625109354,0.0865561464524972
1.56,0.115498573379623,0.246778317123062,0.0828610873417473
1.58,0.112354619414539,0.242949881215087,0.0793550617331094
1.6,0.109334868011132,0.23919041567156,0.0760272826584915
1.62,0.106433388269412,0.235499351368017,0.0728676247392131
1.64,0.103644565995506,0.231876078315179,0.0698665814236152
1.66,0.100963086011905,0.228319946756375,0.0670152251376584
1.68,0.0983839154025788,0.224830268699722,0.0643051701332235
1.7,0.0959022876592063,0.221406319795549,0.0617285378369539
1.72,0.0935136876929722,0.218047341480325,0.0592779245189025
1.74,0.0912138376752093,0.214752543318516,0.0569463711150617
1.76,0.0889986836696662,0.211521105482877,0.0547273350512256
1.78,0.0868643830191434,0.208352181322439,0.0526146639278437
1.8,0.0848072924495487,0.205244899974555,0.0506025709363463
1.82,0.082823956855074,0.202198368984719,0.0486856118875214
1.84,0.0809110987290549,0.19921167690365,0.0468586637414747
1.86,0.0790656082061117,0.196283895836596,0.0451169045369541
1.88,0.0772845336823315,0.193414083924603,0.043455794625329
1.9,0.0755650729815238,0.190601287741676,0.041871059121398
1.92,0.0739045650368748,0.187844544595294,0.0403586714894429
1.94,0.0723004820586967,0.185142884720945,0.0389148381887588
1.96,0.0707504221603137,0.18249533336401,0.037535984308176
1.98,0.0692521024154952,0.179900912744632,0.0362187401239944
2,0.0678033523221818,0.177358643903085,0.0349599285202502
2.02,0.0664021076485647,0.174867548424911,0.0337565532144342
2.04,0.0650464046388644,0.172426650046317,0.0326057877356275
2.06,0.0637343745573886,0.170034976141495,0.0315049651056091
2.08,0.0624642385506455,0.167691559094442,0.0304515681768255
2.1,0.061234302808439,0.16539543755854,0.0294432205841928
2.12,0.0600429540059683,0.163145657607735,0.0284776782705858
2.14,0.0588886550100019,0.160941273783598,0.0275528215485407
2.16,0.0577699408331974,0.158781350042763,0.0266666476631813
2.18,0.0566854148215837,0.15666496060962,0.0258172638237255
2.2,0.0556337450611171,0.154591190739053,0.0250028806730563
2.22,0.0546136609900861,0.152559137394264,0.0242218061669013
2.24,0.0536239502049262,0.150567909844588,0.0234724398360143
2.26,0.052663455447781,0.148616630188205,0.0227532674065292
2.28,0.0517310717648486,0.146704433804578,0.0220628557552903
2.3,0.0508257438252369,0.144830469741287,0.0213998481784941
2.32,0.049946463390675,0.142993901039837,0.0207629599534091
2.34,0.0490922669270368,0.141193905004807,0.0201509741742732
2.36,0.048262233349178,0.139429673420539,0.0195627378447087
2.38,0.047455481891132,0.137700412719438,0.0189971582101737
2.4,0.0466711700941844,0.13600534410568,0.018453199315034
2.42,0.0459084919058295,0.134343703637972,0.01792987876987
2.44,0.0451666758830297,0.132714742274838,0.017426264715572
2.46,0.0444449834936198,0.131117725885673,0.0169414729716665
2.48,0.0437427075100684,0.129551935230583,0.0164746643571274
2.5,0.0430591704901796,0.128016665911987,0.0160250421727242
2.52,0.0423937233396394,0.126511228300579,0.0155918498346447
2.54,0.0417457439516402,0.125034947438214,0.0151743686498269
2.56,0.0411146359190989,0.123587162920088,0.0147719157240519
2.58,0.0404998273152666,0.122167228758368,0.0143838419944329
2.6,0.0399007695387842,0.12077451322931,0.0140095303784822
2.62,0.0393169362194806,0.119408398705819,0.0136483940324603
2.64,0.0387478221814364,0.118068281477076,0.0132998747121591
2.66,0.0381929424600459,0.116753571557003,0.0129634412297518
2.68,0.0376518313700142,0.115463692482921,0.0126385880007231
2.7,0.0371240416214057,0.114198081105886,0.0123248336753059
2.72,0.0366091434810394,0.112956187373892,0.0120217198491941
2.74,0.0361067239766876,0.111737474109148,0.0117288098486511
2.76,0.0356163861416865,0.110541416780477,0.0114456875854409
2.78,0.0351377482977135,0.109367503271823,0.0111719564773068
2.8,0.0346704433736163,0.108215233647726,0.0109072384299936
2.82,0.0342141182583076,0.107084119916635,0.0106511728770726
2.84,0.0337684331858562,0.105973685792716,0.0104034158740569
2.86,0.0333330611510154,0.104883466456892,0.01016363924353
2.88,0.0329076873535317,0.103813008317691,0.0099315297682121
2.9,0.0324920086696786,0.102761868772435,0.00970678842908445
2.92,0.0320857331495458,0.101729615969303,0.00948912968587899
2.94,0.0316885795387037,0.100715828570653,0.00927828079740232
2.96,0.0313002768229382,0.0997200955180506,0.00907398117933136
2.98,0.0309205637948358,0.098742015799308,0.00887598179725947
3,0.0305491886410552,0.0977811982178947,0.00868404459291615
3.02,0.0301859085492018,0.0968372611649445,0.00849794194160776
