"dog_number","total_dose","daily_dose","days_exposed","first_exposure_age","interrupts"
"3825","1808.0","8","241","67","0"
"3826","2565.0","8","342","67","0"
"3827","2288.0","8","305","556","0"
"3828","8348.0","8","1113","556","0"
"3829","1890.0","8","252","556","0"
"3830","2085.0","8","278","67","0"
"3831","7560.0","8","1008","50","0"
"3832","13740.0","8","1832","50","0"
"3834","4440.0","8","592","50","0"
"3847","4515.0","4","1204","437","0"
"3849","7478.0","4","1994","438","0"
"3851","6956.0","4","1855","437","0"
"3855","9840.0","4","2624","400","0"
"3857","6139.0","4","1637","401","0"
"3859","1733.0","4","462","370","0"
"3861","7163.0","4","1910","370","0"
"3863","8727.0","4","2327","369","0"
"3864","2363.0","8","315","570","0"
"3867","6488.0","4","1730","437","0"
"3871","6705.0","8","894","561","0"
"3872","1785.0","13","140","414","0"
"3879","1590.0","8","212","542","0"
"3882","1380.0","8","184","541","0"
"3884","1553.0","8","207","541","0"
"3885","5704.0","4","1521","408","0"
"3886","2027.0","13","159","394","0"
"3902","1373.0","8","183","442","0"
"3905","1898.0","8","253","438","0"
"3906","1065.0","8","142","438","0"
"3907","10013.0","8","1335","438","0"
"3918","1305.0","8","174","420","0"
"3921","1710.0","8","228","420","0"
"3932","420.0","8","56","807","0"
"3958","315.0","8","42","688","0"
"3966","878.0","8","117","682","0"
"3970","2235.0","8","298","409","0"
"3996","788.0","8","105","585","0"
"4008","615.0","8","82","480","0"
"4010","6450.0","8","860","487","0"
"4017","1223.0","8","163","380","0"
"4018","915.0","8","122","380","0"
"4020","8363.0","8","1115","387","0"
"4021","990.0","8","132","387","0"
"4022","1463.0","8","195","387","0"
"4073","2153.0","8","287","412","0"
"4075","1305.0","8","174","412","0"
"4076","1980.0","8","264","407","0"
"4083","1418.0","8","189","405","0"
"4088","1245.0","8","166","401","0"
"4106","4226.0","4","1127","617","0"
"4107","2723.0","2","1452","617","0"
"4109","1545.0","8","206","617","0"
"4115","5445.0","4","1452","616","0"
"4116","2723.0","2","1452","616","0"
"4121","1290.0","8","172","518","0"
"4122","495.0","8","66","-63","0"
"4123","1493.0","8","199","-63","0"
"4124","5160.0","8","688","-63","0"
"4125","788.0","8","105","-63","0"
"4126","9090.0","8","1212","-63","0"
"4127","3000.0","8","400","-63","0"
"4140","9180.0","8","1224","-39","0"
"4141","12405.0","8","1654","-39","0"
"4142","308.0","8","41","-39","0"
"4143","2760.0","8","368","-39","0"
"4144","6645.0","8","886","-39","0"
"4145","420.0","8","56","-56","0"
"4146","420.0","8","56","-56","0"
"4147","420.0","8","56","-56","0"
"4148","420.0","8","56","-56","0"
"4149","420.0","8","56","-56","0"
"4150","420.0","8","56","-56","0"
"4151","420.0","8","56","-56","0"
"4152","315.0","8","42","-41","0"
"4153","315.0","8","42","-41","0"
"4154","315.0","8","42","-41","0"
"4155","315.0","8","42","-41","0"
"4156","315.0","8","42","-41","0"
"4163","14588.0","8","1945","-61","0"
"4164","12885.0","8","1718","-61","0"
"4172","1478.0","8","197","482","0"
"4173","14078.0","8","1877","482","0"
"4174","10755.0","8","1434","479","0"
"4175","1733.0","8","231","479","0"
"4176","9098.0","8","1213","479","0"
"4177","13050.0","8","1740","479","0"
"4180","1575.0","8","210","391","0"
"4181","1290.0","8","172","391","0"
"4183","1613.0","8","215","391","0"
"4191","1680.0","8","224","381","0"
"4192","1080.0","8","144","381","0"
"4193","1410.0","8","188","381","0"
"4200","1500.0","8","200","314","0"
"4201","6653.0","8","887","314","0"
"4215","2258.0","8","301","440","0"
"4216","2078.0","8","277","440","0"
"4220","4943.0","8","659","434","0"
"4221","1035.0","8","138","434","0"
"4222","3053.0","8","407","434","0"
"4230","10388.0","8","1385","429","0"
"4236","7463.0","8","995","772","0"
"4237","1230.0","8","164","772","0"
"4238","7463.0","8","995","772","0"
"4300","2123.0","8","283","612","0"
"4307","2123.0","8","283","588","0"
"4312","2123.0","8","283","555","0"
"4315","668.0","8","89","555","0"
"4316","2063.0","8","275","555","0"
"4318","7530.0","8","1004","555","0"
"4319","7463.0","8","995","548","0"
"4320","7028.0","8","937","548","0"
"4321","1043.0","8","139","548","0"
"4324","2123.0","8","283","532","0"
"4325","2123.0","8","283","532","0"
"4338","2183.0","8","291","503","0"
"4339","2183.0","8","291","503","0"
"4343","2183.0","8","291","437","0"
"4344","2183.0","8","291","437","0"
"4445","1193.0","8","159","592","0"
"4462","1005.0","8","134","564","0"
"4464","1170.0","8","156","564","0"
"4470","825.0","8","110","484","0"
"4498","1568.0","8","209","391","0"
"4500","1035.0","8","138","391","0"
