Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-359|99|2755|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-360|99|1845|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-361|99|1939|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-362|99|3250|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-363|99|2178|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-364|99|2590|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-365|99|2686|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-366|99|2961|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-367|99|2148|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-368|99|8409|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-369|99|4235|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-370|99|1641|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-371|99|4187|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-372|99|4129|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-373|99|1539|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-374|99|3166|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-375|99|2389|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-376|99|1868|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-377|99|1004|n/a|n/a|n/a|
1002-99-99|Colony Control some Cobalt exposed no informat available,n/a|n/a| n/a|n/a||n/a|n/a| n/a|5760 (5760 in ERA)|Dog|Dog, Beagle|Both|Unknown|Survival, cause of death.|1002-99-99-378|99|2089|n/a|n/a|n/a|
