Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-1|1|120|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-2|1|148|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-3|1|169|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-4|1|172|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-5|1|172|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-6|1|172|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-7|1|172|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-8|1|172|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-9|1|227|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-10|1|227|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-11|1|250|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-12|1|256|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-13|1|263|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-14|1|283|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-15|1|288|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-16|1|311|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-17|1|323|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-18|1|324|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-19|1|325|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-20|1|326|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-21|1|327|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-22|1|327|n/a|n/a|n/a|
1003-27-1|n/a,VO|1| 100|shamexposed|0|grays|External exposure| code V0 24 fractions 45 m 1/w|245 (245 in ERA)|Mouse|Mouse, white-footed field (Peromyscus leucopus)|Male|Juvenile|211 records survival 1255 ± 35 lifespan study|1003-27-1-23|1|344|n/a|n/a|n/a|
