Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
1003-28-1|n/a,JO|1| 100|shamexposed|0|grays|External exposure| code J0|120 (120 in ERA)|Mouse|Mouse, B6CF1|Male|Juvenile|120 records survival 904 ± 19 lifespan study|1003-28-1-1|1|379|n/a|n/a|n/a|
1003-28-1|n/a,JO|1| 100|shamexposed|0|grays|External exposure| code J0|120 (120 in ERA)|Mouse|Mouse, B6CF1|Male|Juvenile|120 records survival 904 ± 19 lifespan study|1003-28-1-2|1|495|n/a|n/a|n/a|
1003-28-1|n/a,JO|1| 100|shamexposed|0|grays|External exposure| code J0|120 (120 in ERA)|Mouse|Mouse, B6CF1|Male|Juvenile|120 records survival 904 ± 19 lifespan study|1003-28-1-3|1|579|n/a|n/a|n/a|
1003-28-1|n/a,JO|1| 100|shamexposed|0|grays|External exposure| code J0|120 (120 in ERA)|Mouse|Mouse, B6CF1|Male|Juvenile|120 records survival 904 ± 19 lifespan study|1003-28-1-4|1|614|n/a|n/a|n/a|
1003-28-1|n/a,JO|1| 100|shamexposed|0|grays|External exposure| code J0|120 (120 in ERA)|Mouse|Mouse, B6CF1|Male|Juvenile|120 records survival 904 ± 19 lifespan study|1003-28-1-5|1|617|n/a|n/a|n/a|
1003-28-1|n/a,JO|1| 100|shamexposed|0|grays|External exposure| code J0|120 (120 in ERA)|Mouse|Mouse, B6CF1|Male|Juvenile|120 records survival 904 ± 19 lifespan study|1003-28-1-6|1|640|n/a|n/a|n/a|
1003-28-1|n/a,JO|1| 100|shamexposed|0|grays|External exposure| code J0|120 (120 in ERA)|Mouse|Mouse, B6CF1|Male|Juvenile|120 records survival 904 ± 19 lifespan study|1003-28-1-7|1|656|n/a|n/a|n/a|
1003-28-1|n/a,JO|1| 100|shamexposed|0|grays|External exposure| code J0|120 (120 in ERA)|Mouse|Mouse, B6CF1|Male|Juvenile|120 records survival 904 ± 19 lifespan study|1003-28-1-8|1|659|n/a|n/a|n/a|
1003-28-1|n/a,JO|1| 100|shamexposed|0|grays|External exposure| code J0|120 (120 in ERA)|Mouse|Mouse, B6CF1|Male|Juvenile|120 records survival 904 ± 19 lifespan study|1003-28-1-9|1|664|n/a|n/a|n/a|
1003-28-1|n/a,JO|1| 100|shamexposed|0|grays|External exposure| code J0|120 (120 in ERA)|Mouse|Mouse, B6CF1|Male|Juvenile|120 records survival 904 ± 19 lifespan study|1003-28-1-10|1|693|n/a|n/a|n/a|
1003-28-1|n/a,JO|1| 100|shamexposed|0|grays|External exposure| code J0|120 (120 in ERA)|Mouse|Mouse, B6CF1|Male|Juvenile|120 records survival 904 ± 19 lifespan study|1003-28-1-11|1|722|n/a|n/a|n/a|
1003-28-1|n/a,JO|1| 100|shamexposed|0|grays|External exposure| code J0|120 (120 in ERA)|Mouse|Mouse, B6CF1|Male|Juvenile|120 records survival 904 ± 19 lifespan study|1003-28-1-12|1|733|n/a|n/a|n/a|
