Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
1005-41-1|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| Pu long|5 (5 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDRESPONS / |1005-41-1-870|1|2812|n/a|n/a|n/a|
1005-41-1|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| Pu long|5 (5 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDRESPONS / |1005-41-1-911|1|2771|n/a|n/a|n/a|
1005-41-1|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| Pu long|5 (5 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDRESPONS / |1005-41-1-1040|1|2683|n/a|n/a|n/a|
1005-41-1|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| Pu long|5 (5 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDRESPONS / |1005-41-1-4990|1|47|n/a|n/a|n/a|
1005-41-1|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| Pu long|5 (5 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDRESPONS / |1005-41-1-4991|1|47|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3168|2|936|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3177|2|908|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3178|2|931|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3179|2|934|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3182|2|930|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3184|2|927|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3188|2|927|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3209|2|885|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3226|2|857|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3228|2|870|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3239|2|853|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3242|2|839|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3252|2|866|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3253|2|828|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3257|2|836|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3258|2|845|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3261|2|830|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3262|2|798|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3263|2|797|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3266|2|815|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3269|2|818|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3272|2|788|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3274|2|793|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3278|2|777|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3279|2|785|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3285|2|775|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3287|2|786|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3288|2|796|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3290|2|789|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3295|2|787|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3317|2|763|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3319|2|761|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3322|2|770|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3323|2|755|n/a|n/a|n/a|
1005-41-2|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 238PU MONODISPERSED DP|160 (160 in ERA)|Dog|Dog, Beagle|Both|Unknown|38PUDPATTERN / |1005-41-2-3344|2|744|n/a|n/a|n/a|
