Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
13-3-19|Na60d-Gy 2.5,n/a|Sequence:1, Age:75,Type:neutrons fission,Quantity:2.5,Unit:grays,Application:External exposure, Remarks:n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 60 d|No information on individuals available for this study
13-3-20|Na90d-Gy 2.5,n/a|Sequence:1, Age:75,Type:neutrons fission,Quantity:2.5,Unit:grays,Application:External exposure, Remarks:n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 90 d|No information on individuals available for this study
13-3-21|NLa-Gy 2.5,n/a|Sequence:1, Age:75,Type:neutrons fission,Quantity:2.5,Unit:grays,Application:External exposure, Remarks:n/a|72 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|life span study|No information on individuals available for this study
13-3-22|Na10dc-Gy 0,n/a|Sequence:1, Age:75,Type:none (controls),Quantity:0,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 10 d|No information on individuals available for this study
13-3-23|Nc60d-Gy 0,n/a|Sequence:1, Age:75,Type:none (controls),Quantity:0,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 60 d|No information on individuals available for this study
13-3-24|Nc90d-Gy 0,n/a|Sequence:1, Age:75,Type:none (controls),Quantity:0,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 90 d|No information on individuals available for this study
13-3-25|Nc210d-Gy 0,n/a|Sequence:1, Age:75,Type:none (controls),Quantity:0,Unit:unit code not relevant,Application:not applicable or not supplied, Remarks:n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 210 d|No information on individuals available for this study
13-3-26|Nc3d-Gy 2.5,n/a|Sequence:1, Age:75,Type:neutrons fission,Quantity:2.5,Unit:grays,Application:not applicable or not supplied, Remarks:n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 3 d|No information on individuals available for this study
13-3-27|Nc10da-Gy 2.5,n/a|Sequence:1, Age:75,Type:neutrons fission,Quantity:2.5,Unit:grays,Application:not applicable or not supplied, Remarks:n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 10 d|No information on individuals available for this study
13-3-28|Nc21d-Gy 2.5,n/a|Sequence:1, Age:75,Type:neutrons fission,Quantity:2.5,Unit:grays,Application:not applicable or not supplied, Remarks:n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 21 d|No information on individuals available for this study
13-3-29|Nc30d-Gy 2.5,n/a|Sequence:1, Age:75,Type:neutrons fission,Quantity:2.5,Unit:grays,Application:not applicable or not supplied, Remarks:n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 30 d|No information on individuals available for this study
13-3-30|Nc45d-Gy 2.5,n/a|Sequence:1, Age:75,Type:neutrons fission,Quantity:2.5,Unit:grays,Application:not applicable or not supplied, Remarks:n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 45 d|No information on individuals available for this study
13-3-31|Nc60d-Gy 2.5,n/a|Sequence:1, Age:75,Type:neutrons fission,Quantity:2.5,Unit:grays,Application:not applicable or not supplied, Remarks:n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 60 d|No information on individuals available for this study
13-3-32|Nc90d-Gy 2.5,n/a|Sequence:1, Age:75,Type:neutrons fission,Quantity:2.5,Unit:grays,Application:not applicable or not supplied, Remarks:n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 90 d|No information on individuals available for this study
13-3-33|Nc150d-Gy 2.5,n/a|Sequence:1, Age:75,Type:neutrons fission,Quantity:2.5,Unit:grays,Application:not applicable or not supplied, Remarks:n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 150 d|No information on individuals available for this study
13-3-34|Nc210d-Gy 2.5,n/a|Sequence:1, Age:75,Type:neutrons fission,Quantity:2.5,Unit:grays,Application:not applicable or not supplied, Remarks:n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 210 d|No information on individuals available for this study
13-3-35|Nc270d-Gy 2.5,n/a|Sequence:1, Age:75,Type:neutrons fission,Quantity:2.5,Unit:grays,Application:not applicable or not supplied, Remarks:n/a|5 (0 in ERA)|Mouse|Mouse, CBA/S (CBA/SU)|Male|Young Adult|sacrifice 270 d|No information on individuals available for this study
		
