Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
16-3-1|n/a,n/a|Sequence:1, Age:245,Type:ß-rays,Quantity:47,Unit:grays,Application:External exposure, Remarks: 10 F Sr90 source 22.5 mm 3 Gy/min|13 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-2|n/a,n/a|Sequence:1, Age:245,Type:ß-rays,Quantity:54,Unit:grays,Application:External exposure, Remarks: 10 F Sr90 source 22.5 mm 3 Gy/min|12 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-3|n/a,n/a|Sequence:1, Age:245,Type:ß-rays,Quantity:56,Unit:grays,Application:External exposure, Remarks: 10 F Sr90 source 22.5 mm 3 Gy/min|14 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-4|n/a,n/a|Sequence:1, Age:245,Type:ß-rays,Quantity:57,Unit:grays,Application:External exposure, Remarks: 10 F Sr90 source 22.5 mm 3 Gy/min|12 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-5|n/a,n/a|Sequence:1, Age:245,Type:ß-rays,Quantity:60,Unit:grays,Application:External exposure, Remarks: 10 F Sr90 source 22.5 mm 3 Gy/min|13 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-6|n/a,n/a|Sequence:1, Age:245,Type:ß-rays,Quantity:62,Unit:grays,Application:External exposure, Remarks: 10 F Sr90 source 22.5 mm 3 Gy/min|11 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-7|n/a,n/a|Sequence:1, Age:245,Type:ß-rays,Quantity:63,Unit:grays,Application:External exposure, Remarks: 10 F Sr90 source 22.5 mm 3 Gy/min|14 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-8|n/a,n/a|Sequence:1, Age:245,Type:ß-rays,Quantity:66,Unit:grays,Application:External exposure, Remarks: 10 F Sr90 source 22.5 mm 3 Gy/min|12 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-9|n/a,n/a|Sequence:1, Age:245,Type:ß-rays,Quantity:67,Unit:grays,Application:External exposure, Remarks: 10 F Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
16-3-10|n/a,n/a|Sequence:1, Age:245,Type:ß-rays,Quantity:70,Unit:grays,Application:External exposure, Remarks: 10 F Sr90 source 22.5 mm 3 Gy/min|10 (0 in ERA)|Livestock|Pig large white|Female|Unknown|erythema and moist desquamation scored over 9 weeks|No information on individuals available for this study
