Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
1006-1-1|Control,?|1| n/a|none (controls)||unit code not relevant|not applicable or not supplied| n/a|14 (14 in ERA)|Monkeys|Rhesus monkey, (Macaca mulatta)|Both|Adult|Control group for metabolic and distribution kinetics|1006-1-1-31|1|n/a|n/a|n/a|n/a|
1006-1-1|Control,?|1| n/a|none (controls)||unit code not relevant|not applicable or not supplied| n/a|14 (14 in ERA)|Monkeys|Rhesus monkey, (Macaca mulatta)|Both|Adult|Control group for metabolic and distribution kinetics|1006-1-1-38|1|n/a|n/a|n/a|n/a|
1006-1-1|Control,?|1| n/a|none (controls)||unit code not relevant|not applicable or not supplied| n/a|14 (14 in ERA)|Monkeys|Rhesus monkey, (Macaca mulatta)|Both|Adult|Control group for metabolic and distribution kinetics|1006-1-1-39|1|n/a|n/a|n/a|n/a|
1006-1-1|Control,?|1| n/a|none (controls)||unit code not relevant|not applicable or not supplied| n/a|14 (14 in ERA)|Monkeys|Rhesus monkey, (Macaca mulatta)|Both|Adult|Control group for metabolic and distribution kinetics|1006-1-1-40|1|n/a|n/a|n/a|n/a|
1006-1-1|Control,?|1| n/a|none (controls)||unit code not relevant|not applicable or not supplied| n/a|14 (14 in ERA)|Monkeys|Rhesus monkey, (Macaca mulatta)|Both|Adult|Control group for metabolic and distribution kinetics|1006-1-1-63|1|n/a|n/a|n/a|n/a|
1006-1-1|Control,?|1| n/a|none (controls)||unit code not relevant|not applicable or not supplied| n/a|14 (14 in ERA)|Monkeys|Rhesus monkey, (Macaca mulatta)|Both|Adult|Control group for metabolic and distribution kinetics|1006-1-1-64|1|n/a|n/a|n/a|n/a|
1006-1-1|Control,?|1| n/a|none (controls)||unit code not relevant|not applicable or not supplied| n/a|14 (14 in ERA)|Monkeys|Rhesus monkey, (Macaca mulatta)|Both|Adult|Control group for metabolic and distribution kinetics|1006-1-1-65|1|n/a|n/a|n/a|n/a|
1006-1-1|Control,?|1| n/a|none (controls)||unit code not relevant|not applicable or not supplied| n/a|14 (14 in ERA)|Monkeys|Rhesus monkey, (Macaca mulatta)|Both|Adult|Control group for metabolic and distribution kinetics|1006-1-1-98|1|n/a|n/a|n/a|n/a|
1006-1-1|Control,?|1| n/a|none (controls)||unit code not relevant|not applicable or not supplied| n/a|14 (14 in ERA)|Monkeys|Rhesus monkey, (Macaca mulatta)|Both|Adult|Control group for metabolic and distribution kinetics|1006-1-1-135|1|n/a|n/a|n/a|n/a|
1006-1-1|Control,?|1| n/a|none (controls)||unit code not relevant|not applicable or not supplied| n/a|14 (14 in ERA)|Monkeys|Rhesus monkey, (Macaca mulatta)|Both|Adult|Control group for metabolic and distribution kinetics|1006-1-1-152|1|n/a|n/a|n/a|n/a|
1006-1-1|Control,?|1| n/a|none (controls)||unit code not relevant|not applicable or not supplied| n/a|14 (14 in ERA)|Monkeys|Rhesus monkey, (Macaca mulatta)|Both|Adult|Control group for metabolic and distribution kinetics|1006-1-1-153|1|n/a|n/a|n/a|n/a|
1006-1-1|Control,?|1| n/a|none (controls)||unit code not relevant|not applicable or not supplied| n/a|14 (14 in ERA)|Monkeys|Rhesus monkey, (Macaca mulatta)|Both|Adult|Control group for metabolic and distribution kinetics|1006-1-1-154|1|n/a|n/a|n/a|n/a|
1006-1-1|Control,?|1| n/a|none (controls)||unit code not relevant|not applicable or not supplied| n/a|14 (14 in ERA)|Monkeys|Rhesus monkey, (Macaca mulatta)|Both|Adult|Control group for metabolic and distribution kinetics|1006-1-1-160|1|n/a|n/a|n/a|n/a|
