Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-7765|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-7796|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-7817|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-7867|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-7868|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-7870|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8056|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8063|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8080|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8093|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8094|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8095|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8096|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8136|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8176|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8192|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8193|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8225|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8238|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8242|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8243|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8245|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8253|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8254|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8255|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8256|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8257|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8272|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8273|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8274|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8294|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8296|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8299|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8301|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8302|1|n/a|n/a|n/a|n/a|
1005-49-1|n/a,n/a|1| n/a|X-rays whole body||code was present in 2006 version of db, translation unknown|n/a| 0|7 (43 in ERA)|Dog|Dog, Beagle|Both|Unknown|UNDESIGNATED / 90SRFAPUNDESIG|1005-49-1-8303|1|n/a|n/a|n/a|n/a|
