Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
1005-42-1|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 144CEFAP-SER1 -Ser2 UNDESIG,.SACSER2.|55 (55 in ERA)|Dog|Dog, Beagle|Both|Unknown|39PURIMMSAC / 239PUO2 IMM DP SAC|1005-42-1-379|1|5119|n/a|n/a|n/a|
1005-42-1|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 144CEFAP-SER1 -Ser2 UNDESIG,.SACSER2.|55 (55 in ERA)|Dog|Dog, Beagle|Both|Unknown|39PURIMMSAC / 239PUO2 IMM DP SAC|1005-42-1-727|1|3596|n/a|n/a|n/a|
1005-42-1|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 144CEFAP-SER1 -Ser2 UNDESIG,.SACSER2.|55 (55 in ERA)|Dog|Dog, Beagle|Both|Unknown|39PURIMMSAC / 239PUO2 IMM DP SAC|1005-42-1-757|1|2060|n/a|n/a|n/a|
1005-42-1|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 144CEFAP-SER1 -Ser2 UNDESIG,.SACSER2.|55 (55 in ERA)|Dog|Dog, Beagle|Both|Unknown|39PURIMMSAC / 239PUO2 IMM DP SAC|1005-42-1-759|1|2064|n/a|n/a|n/a|
1005-42-1|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 144CEFAP-SER1 -Ser2 UNDESIG,.SACSER2.|55 (55 in ERA)|Dog|Dog, Beagle|Both|Unknown|39PURIMMSAC / 239PUO2 IMM DP SAC|1005-42-1-927|1|1310|n/a|n/a|n/a|
1005-42-1|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 144CEFAP-SER1 -Ser2 UNDESIG,.SACSER2.|55 (55 in ERA)|Dog|Dog, Beagle|Both|Unknown|39PURIMMSAC / 239PUO2 IMM DP SAC|1005-42-1-975|1|789|n/a|n/a|n/a|
1005-42-1|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 144CEFAP-SER1 -Ser2 UNDESIG,.SACSER2.|55 (55 in ERA)|Dog|Dog, Beagle|Both|Unknown|39PURIMMSAC / 239PUO2 IMM DP SAC|1005-42-1-978|1|917|n/a|n/a|n/a|
1005-42-1|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 144CEFAP-SER1 -Ser2 UNDESIG,.SACSER2.|55 (55 in ERA)|Dog|Dog, Beagle|Both|Unknown|39PURIMMSAC / 239PUO2 IMM DP SAC|1005-42-1-986|1|1264|n/a|n/a|n/a|
1005-42-1|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 144CEFAP-SER1 -Ser2 UNDESIG,.SACSER2.|55 (55 in ERA)|Dog|Dog, Beagle|Both|Unknown|39PURIMMSAC / 239PUO2 IMM DP SAC|1005-42-1-992|1|1150|n/a|n/a|n/a|
1005-42-1|n/a,n/a|1| n/a|Undefined||unit code not relevant|not applicable or not supplied| 144CEFAP-SER1 -Ser2 UNDESIG,.SACSER2.|55 (55 in ERA)|Dog|Dog, Beagle|Both|Unknown|39PURIMMSAC / 239PUO2 IMM DP SAC|1005-42-1-993|1|1262|n/a|n/a|n/a|
