Group ID|Group Name|Treatment Sequence|Treatment Age|Treatment Type|Treatment Quantity|Treatment Unit|Treatment Application|Treatment Remarks|No of individuals in study|Species|Strain|Sex|Age|Group Endpoints|Individual ID|Group ID|Age at death|Pathology type |Pathology location|Pathology Description|
1005-99-91|n/a,n/a|n/a| n/a|n/a||n/a|n/a| n/a|203 (203 in ERA)|Dog|Dog, Beagle|Both|Unknown|UTAH239PUINJ / 239PU YOUNG ADULT|1005-99-91-741|91|6489|n/a|n/a|n/a|
1005-99-91|n/a,n/a|n/a| n/a|n/a||n/a|n/a| n/a|203 (203 in ERA)|Dog|Dog, Beagle|Both|Unknown|UTAH239PUINJ / 239PU YOUNG ADULT|1005-99-91-790|91|6029|n/a|n/a|n/a|
1005-99-91|n/a,n/a|n/a| n/a|n/a||n/a|n/a| n/a|203 (203 in ERA)|Dog|Dog, Beagle|Both|Unknown|UTAH239PUINJ / 239PU YOUNG ADULT|1005-99-91-791|91|6441|n/a|n/a|n/a|
1005-99-91|n/a,n/a|n/a| n/a|n/a||n/a|n/a| n/a|203 (203 in ERA)|Dog|Dog, Beagle|Both|Unknown|UTAH239PUINJ / 239PU YOUNG ADULT|1005-99-91-798|91|5815|Morphology unknown,Morphology unknown,Bronchiolo-alveolar adenocarcinoma, w/evidence of metastasis,Neoplastic disease, malignant w/evidence of metastasis,Fibrosis,Metaplasia, osseous,Inflammation, chronic,Neoplastic disease, benign,Tubular androblastoma (Sertoli Cell Tumor), benign,Leydig cell tumor, uncertain whether benign or malignant,Neoplastic disease, benign,Hyperplasia, cystic,Inflammatory cell (neutrophilic) infiltration, acute,Neoplastic disease, benign,Hematoma,Osteoarthritis,Osteoarthritis,Displacement, inferior (Prolapse),Disease or syndrome of skeletal system,Spondylosis,Degenerative arthropathy,Degeneration,Degenerative arthropathy,Degeneration,Eye disease or syndrome,Cataract,Eye disease or syndrome,Plaque,|Disease type or category unknown,Disease type or category unknown,Lung Lobe, right diaphragmatic,Lung, Interstitial tissue of,Lung,Glomerulus,Testis,Interstitial tissue of testis,Prostate,Mammary gland,Spleen,Elbow joint,Head of femur, right,Intervetrebral disc,Intervetrebral disc,Elbow joint,Coxafemoral joint,Crystalline lens,Iris,|PLAQUE, MELANOTIC/EYE, IRIS, BILATERAL/EYE DISEASE/ (incidental disease04),|
1005-99-91|n/a,n/a|n/a| n/a|n/a||n/a|n/a| n/a|203 (203 in ERA)|Dog|Dog, Beagle|Both|Unknown|UTAH239PUINJ / 239PU YOUNG ADULT|1005-99-91-815|91|6190|n/a|n/a|n/a|
1005-99-91|n/a,n/a|n/a| n/a|n/a||n/a|n/a| n/a|203 (203 in ERA)|Dog|Dog, Beagle|Both|Unknown|UTAH239PUINJ / 239PU YOUNG ADULT|1005-99-91-822|91|6017|n/a|n/a|n/a|
1005-99-91|n/a,n/a|n/a| n/a|n/a||n/a|n/a| n/a|203 (203 in ERA)|Dog|Dog, Beagle|Both|Unknown|UTAH239PUINJ / 239PU YOUNG ADULT|1005-99-91-823|91|6092|n/a|n/a|n/a|
1005-99-91|n/a,n/a|n/a| n/a|n/a||n/a|n/a| n/a|203 (203 in ERA)|Dog|Dog, Beagle|Both|Unknown|UTAH239PUINJ / 239PU YOUNG ADULT|1005-99-91-836|91|6372|n/a|n/a|n/a|
1005-99-91|n/a,n/a|n/a| n/a|n/a||n/a|n/a| n/a|203 (203 in ERA)|Dog|Dog, Beagle|Both|Unknown|UTAH239PUINJ / 239PU YOUNG ADULT|1005-99-91-837|91|6415|n/a|n/a|n/a|
1005-99-91|n/a,n/a|n/a| n/a|n/a||n/a|n/a| n/a|203 (203 in ERA)|Dog|Dog, Beagle|Both|Unknown|UTAH239PUINJ / 239PU YOUNG ADULT|1005-99-91-853|91|5930|n/a|n/a|n/a|
1005-99-91|n/a,n/a|n/a| n/a|n/a||n/a|n/a| n/a|203 (203 in ERA)|Dog|Dog, Beagle|Both|Unknown|UTAH239PUINJ / 239PU YOUNG ADULT|1005-99-91-857|91|5560|n/a|n/a|n/a|
1005-99-91|n/a,n/a|n/a| n/a|n/a||n/a|n/a| n/a|203 (203 in ERA)|Dog|Dog, Beagle|Both|Unknown|UTAH239PUINJ / 239PU YOUNG ADULT|1005-99-91-858|91|5385|n/a|n/a|n/a|
1005-99-91|n/a,n/a|n/a| n/a|n/a||n/a|n/a| n/a|203 (203 in ERA)|Dog|Dog, Beagle|Both|Unknown|UTAH239PUINJ / 239PU YOUNG ADULT|1005-99-91-865|91|5729|n/a|n/a|n/a|
1005-99-91|n/a,n/a|n/a| n/a|n/a||n/a|n/a| n/a|203 (203 in ERA)|Dog|Dog, Beagle|Both|Unknown|UTAH239PUINJ / 239PU YOUNG ADULT|1005-99-91-866|91|5933|n/a|n/a|n/a|
1005-99-91|n/a,n/a|n/a| n/a|n/a||n/a|n/a| n/a|203 (203 in ERA)|Dog|Dog, Beagle|Both|Unknown|UTAH239PUINJ / 239PU YOUNG ADULT|1005-99-91-867|91|6217|n/a|n/a|n/a|
